"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population"
"-50","399","1.066","4000","0.6","false","1.01657421","4000"
"400","1085","1.066","1700","0.6","false","1.01657421","1700"
"1086","1189","1.066","0","0.6","false","1.04611993","3100"
"1190","1219","1.066","0","0.6","false","1.05074733","3970"
"1220","1249","1.066","0","0.6","false","1.04254617","4230"
"1250","1278","1.066","0","0.6","false","1.04254617","4430"
"1279","1289","1.066","0","0.6","false","1.04254617","4750"
"1290","1314","1.066","0","0.6","false","1.03847763","4690"
"1315","1324","1.066","0","0.6","false","1.03037233","4120"
"1325","1347","1.066","0","0.6","false","1.04889735","4810"
"1348","1350","1.066","0","0.6","true","0.84422989","2600"
"1351","1376","1.066","0","0.6","false","1.04065135","2500"
"1377","1399","1.066","0","0.6","false","1.0304985","2080"
"1400","1429","1.066","0","0.6","false","1.04207655","2020"
"1430","1449","1.066","0","0.6","false","1.03394313","1900"
"1450","1489","1.066","0","0.6","false","1.04320389","2140"
"1490","1521","1.066","0","0.6","false","1.04436091","2350"
"1522","1540","1.066","0","0.6","false","1.04898874","2830"
"1541","1559","1.066","0","0.6","false","1.04898874","3200"
"1560","1599","1.066","0","0.6","false","1.0459184400000001","4110"
"1600","1649","1.066","0","0.6","false","1.04707529","5310"
"1650","1699","1.066","0","0.6","false","1.0389028200000001","5200"
"1700","1800","1.066","0","0.6","false","1.04353199","7755"
"1801","1810","1.066","0","0.6","false","1.05278807","8762"
"1811","1820","1.066","0","0.6","false","1.05278807","10402"
"1821","1830","1.066","0","0.6","false","1.0620396300000001","12012"
"1831","1840","1.066","0","0.6","false","1.05375025","13659"
"1841","1850","1.066","0","0.6","false","1.05375025","15289"
"1851","1860","1.066","0","0.6","false","1.05375025","18325"
"1861","1870","1.066","0","0.6","false","1.06300134","21361"
"1871","1880","1.066","0","0.6","false","1.04640756","24297"
"1881","1890","1.066","0","0.6","false","1.05566224","27231"
"1891","1900","1.066","0","0.6","false","1.04742268","30000"
"1901","2015","1.003","0","0.13","false","1.11220199","65000"
