"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","15","0.6","false","-0.0078119999999999995","15","3.0076747421962517","-0.023495955086037117"
"1","43","1.066","20","0.6","false","-0.005859","20","3.169634756875614","-0.01857089004053422"
"44","200","1.066","45","0.6","false","-0.005859","45","0.9467421211126122","-0.0055469620875987944"
"201","410","1.066","30","0.6","false","-0.005859","30","0.9273003804713899","-0.005433052929181873"
"411","430","1.066","12","0.6","false","-0.005859","12","0.9365322177822177","-0.005487142263986013"
"431","500","1.066","13","0.6","false","-0.005859","13","0.9424907235621526","-0.0055220531493506515"
"501","750","1.066","13","0.6","false","-0.005859","13","0.9626634326457846","-0.005640245051871651"
"751","950","1.066","14","0.6","false","-0.005859","14","0.9336353166097756","-0.005470169320016675"
"951","1066","1.066","15","0.6","false","-0.005859","15","0.9514915304038682","-0.005574788876636263"
"1067","1086","1.066","20","0.6","false","-0.005859","20","1.0544283187236478","-0.006177895519401852"
"1087","1190","1.066","37","0.6","false","-0.005859","37","0.9497108497503608","-0.005564355868687363"
"1191","1220","1.066","48","0.6","false","-0.005859","48","0.9271628218322908","-0.005432246973115391"
"1221","1250","1.066","50","0.6","false","-0.005859","50","0.9126154861948018","-0.005347014133615343"
"1251","1279","1.066","53","0.6","false","-0.005859","53","0.9309033621935834","-0.005454162799092205"
"1280","1290","1.066","57","0.6","false","-0.005859","57","0.9068137655415307","-0.005313021852307828"
"1291","1315","1.066","56","0.6","false","-0.005859","56","0.9130800045346145","-0.005349735746568306"
"1316","1325","1.066","50","0.6","false","-0.005859","50","0.8956111917121978","-0.0052473859722417665"
"1326","1348","1.066","57","0.6","false","-0.005859","57","0.9179481744883904","-0.005378258354327479"
"1349","1351","1.066","30","0.6","true","-0.005859","30","0.6744482173174872","-0.003951592105263157"
"1352","1377","1.066","30","0.6","false","-0.005859","30","0.9263314348491334","-0.005427375876781072"
"1378","1400","1.066","25","0.6","false","-0.005859","25","0.9212420711608004","-0.005397557294931129"
"1401","1430","1.066","24","0.6","false","-0.005859","24","0.9151855842530506","-0.005362072338138624"
"1431","1450","1.066","23","0.6","false","-0.005859","23","0.9060733688406101","-0.005308683868037134"
"1451","1490","1.066","26","0.6","false","-0.005859","26","0.9460976282212196","-0.005543186003748125"
"1491","1522","1.066","28","0.6","false","-0.005859","28","0.9142489180282394","-0.005356584410727454"
"1523","1541","1.066","34","0.6","false","-0.005859","34","0.9316033146019297","-0.005458263820252706"
"1542","1560","1.066","38","0.6","false","-0.005859","38","0.9183634762761251","-0.005380691607501817"
"1561","1600","1.066","50","0.6","false","-0.005859","50","0.9323059627123079","-0.0054623806355314115"
"1601","1650","1.066","63","0.6","false","-0.005859","63","0.9309241080117213","-0.0054542843488406744"
"1651","1700","1.066","62","0.6","false","-0.005859","62","0.9164920856730207","-0.005369727129958228"
"1701","1801","1.066","113","0.6","false","-0.005859","113","0.9390393611233828","-0.0055018316168218995"
"1802","1811","1.066","125","0.6","false","-0.005859","125","0.9214995307338478","-0.005399065750569614"
"1812","1821","1.066","134","0.6","false","-0.005859","134","0.9008690899793687","-0.0052781919981891206"
"1822","1831","1.066","158","0.6","false","-0.005859","158","0.9299072346091222","-0.005448326487574847"
"1832","1841","1.066","202","0.6","false","-0.005859","202","0.9642083646744085","-0.005649296808627359"
"1842","1851","1.066","274","0.6","false","-0.005859","274","0.9912320690042975","-0.005807628692296178"
"1852","1861","1.066","290","0.6","false","-0.005859","290","0.920782946489829","-0.005394867283483908"
"1862","1871","1.066","315","0.6","false","-0.005859","315","0.9201165511946835","-0.00539096287344965"
"1872","1881","1.066","350","0.6","false","-0.005859","350","0.9178850983381002","-0.0053778887911629285"
"1882","1891","1.066","378","0.6","false","-0.005859","378","0.9139542669232478","-0.005354858049903309"
"1892","1901","1.066","382","0.6","false","-0.005859","382","0.9059149655816894","-0.005307755783343118"
"1902","1911","1.003","421","0.13","false","-0.005859","421","0.9221265791056329","-0.005402739626979903"
"1912","1921","1.003","440","0.13","false","-0.005859","440","0.8963910447401304","-0.0052519551311324235"
"1922","1931","1.003","450","0.13","false","-0.005859","450","0.9030459511098072","-0.00529094622755236"
"1932","1941","1.003","502","0.13","false","-0.005859","502","0.9659375646573867","-0.005659428191327628"
"1942","1951","1.003","528","0.13","false","-0.005859","528","0.9375380848878232","-0.005493035639357755"
"1952","1961","1.003","559","0.13","false","-0.005859","559","0.9261506350534328","-0.0054263165707780624"
"1962","1971","1.003","563","0.13","false","-0.005859","563","0.9169480659891279","-0.0053723987186303"
"1972","1981","1.003","574","0.13","false","-0.005859","574","0.946162569328991","-0.005543566493698558"
"1982","1991","1.003","593","0.13","false","-0.005859","593","0.9128966711852498","-0.005348661596474378"
"1992","2001","1.003","632","0.13","false","-0.005859","632","0.9445134854637075","-0.0055339045113318615"
"2002","2011","1.003","656","0.13","false","-0.005859","656","0.9268762642838586","-0.005430568032439127"
"2012","2015","1.003","662","0.13","false","-0.005859","662","0.9154103256352706","-0.00536338909789705"
