"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","10.0005","1500","1.0518977310950117","10.519503259815666"
"1","43","1.066","2000","0.6","false","5.0007","2000","2.1333021595089106","10.66800410905621"
"44","200","1.066","4500","0.6","false","5.0007","4500","1.152108544685733","5.7613491994099455"
"201","410","1.066","3000","0.6","false","5.0007","3000","0.8603397818953885","4.302301147324269"
"411","430","1.066","1250","0.6","false","5.0007","1250","0.7778705529870301","3.8898972743222417"
"431","500","1.066","1300","0.6","false","5.0007","1300","0.7870208428293913","3.9356551287369372"
"501","750","1.066","1300","0.6","false","3.7507","1300","3.2691358723362","12.261547916371386"
"751","950","1.066","1400","0.6","false","3.7507","1400","0.9913038352706401","3.71808329494959"
"951","1066","1.066","1500","0.6","false","3.7507","1500","0.9858165953145039","3.69750230404611"
"1067","1086","1.066","2000","0.6","false","3.7507","2000","1.0262306170967919","3.8490831755449375"
"1087","1190","1.066","3700","0.6","false","3.7507","3700","1.0223332179419498","3.834465200534871"
"1191","1220","1.066","4800","0.6","false","3.7507","4800","1.0007952921177354","3.7536829021459903"
"1221","1250","1.066","5000","0.6","false","3.7507","5000","0.977469499226027","3.6661948507470594"
"1251","1279","1.066","5300","0.6","false","3.7507","5300","0.9750027858095458","3.6569429487358636"
"1280","1290","1.066","5700","0.6","false","3.7507","5700","0.9808955836286842","3.679045065516106"
"1291","1315","1.066","5600","0.6","false","3.7507","5600","0.9677434310252856","3.629715286746539"
"1316","1325","1.066","5000","0.6","false","3.7507","5000","0.9562023660917014","3.5864282145001445"
"1326","1348","1.066","5700","0.6","false","3.7507","5700","0.976498907331884","3.6625544517296977"
"1349","1351","1.066","3000","0.6","true","3.7507","3000","0.8113131652152438","3.042992288772815"
"1352","1377","1.066","3000","0.6","false","3.7507","3000","0.9653185126000454","3.6206201452089903"
"1378","1400","1.066","2500","0.6","false","3.7507","2500","0.9545257476291849","3.5801397216327837"
"1401","1430","1.066","2400","0.6","false","3.7507","2400","0.9573714471761703","3.590813086923662"
"1431","1450","1.066","2300","0.6","false","3.7507","2300","0.9585276292997659","3.595149579214632"
"1451","1490","1.066","2600","0.6","false","3.7507","2600","0.9662002798162611","3.623927389506851"
"1491","1522","1.066","2800","0.6","false","3.7507","2800","0.9642072310388164","3.616452061457289"
"1523","1541","1.066","3400","0.6","false","3.7507","3400","0.9840932138107581","3.6910384170400103"
"1542","1560","1.066","3800","0.6","false","3.7507","3800","0.9709376843121358","3.641695972549528"
"1561","1600","1.066","5000","0.6","false","3.7507","5000","0.9835031090020845","3.6888251109341184"
"1601","1650","1.066","6300","0.6","false","3.7507","6300","0.9779208098235828","3.667887581405312"
"1651","1700","1.066","6200","0.6","false","3.7507","6200","0.9635639127110747","3.6140391674054277"
"1701","1801","1.066","11300","0.6","false","3.7507","11300","1.003226413408548","3.7628013087714414"
"1802","1811","1.066","12500","0.6","false","3.7507","12500","0.9795747246541403","3.674090919760284"
"1812","1821","1.066","13400","0.6","false","3.7507","13400","0.9737153512317483","3.6521141678649185"
"1822","1831","1.066","15800","0.6","false","3.7507","15800","0.999125477340835","3.74741992786227"
"1832","1841","1.066","20200","0.6","false","3.7507","20200","1.0324334201302179","3.872348028882408"
"1842","1851","1.066","27400","0.6","false","3.7507","27400","1.068534471551481","4.00775224244814"
"1852","1861","1.066","29000","0.6","false","3.7507","29000","0.9852685019604589","3.695446570303093"
"1862","1871","1.066","31500","0.6","false","3.7507","31500","0.9900454888176171","3.7133636149082365"
"1872","1881","1.066","35000","0.6","false","3.7507","35000","0.993219010804862","3.725266543825796"
"1882","1891","1.066","37800","0.6","false","3.7507","37800","0.986796788585721","3.7011787149484636"
"1892","1901","1.066","38200","0.6","false","3.7507","38200","0.9772028825742126","3.6651948516710995"
"1902","1911","1.003","42100","0.13","false","3.7507","42100","1.0308443977983228","3.8663880828221697"
"1912","1921","1.003","44000","0.13","false","3.7507","44000","0.9965638699918369","3.7378121071783825"
"1922","1931","1.003","45000","0.13","false","3.7507","45000","0.9978588340188257","3.7426691287544096"
"1932","1941","1.003","50200","0.13","false","3.7507","50200","1.0941484902950243","4.103822742549547"
"1942","1951","1.003","52800","0.13","false","3.7507","52800","1.1521438737358027","4.3213460272208755"
"1952","1961","1.003","55900","0.13","false","3.7507","55900","1.1781831162612229","4.419011414160969"
"1962","1971","1.003","56300","0.13","false","3.7507","56300","1.1010978431804506","4.129887680416916"
"1972","1981","1.003","57400","0.13","false","3.7507","57400","1.1229339358996564","4.211788313378841"
"1982","1991","1.003","59300","0.13","false","3.7507","59300","1.1408219277049603","4.278880804242995"
"1992","2001","1.003","63200","0.13","false","3.7507","63200","1.1807400218516364","4.428601599958933"
"2002","2011","1.003","65600","0.13","false","3.7507","65600","1.1885440048947327","4.457871999158674"
"2012","2015","1.003","66270","0.13","false","3.7507","66270","1.1759555273214843","4.410656396324692"
