"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","0.06348437","1500","1.3303733143869614","0.08445791172866818"
"1","43","1.066","2000","0.6","false","0.06348437","2000","0.9190187601607249","0.05834332700698472"
"44","200","1.066","4500","0.6","false","0.04786327","4500","3.498894933737191","0.16746855291509527"
"201","410","1.066","3000","0.6","false","0.04786327","3000","0.9797305639655638","0.04689310851033605"
"411","430","1.066","1250","0.6","false","0.04786327","1250","0.9366279785789489","0.04483007782827844"
"431","500","1.066","1300","0.6","false","0.04786327","1300","0.965030945554395","0.046189536705425305"
"501","750","1.066","1300","0.6","false","0.04786327","1300","0.9581844499385629","0.045861841037210915"
"751","950","1.066","1400","0.6","false","0.04786327","1400","0.9544180388807412","0.04568156828781941"
"951","1066","1.066","1500","0.6","false","0.04786327","1500","0.956958179710488","0.04580314773419161"
"1067","1086","1.066","2000","0.6","false","0.04786327","2000","0.998611253220535","0.04779680003793284"
"1087","1190","1.066","3700","0.6","false","0.04786327","3700","0.9937333181934905","0.04756332611669095"
"1191","1220","1.066","4800","0.6","false","0.04786327","4800","0.9787501246815392","0.04684618148016618"
"1221","1250","1.066","5000","0.6","false","0.04786327","5000","0.957498399044084","0.04582900439801473"
"1251","1279","1.066","5300","0.6","false","0.04786327","5300","0.9561386354155768","0.045763921664327314"
"1280","1290","1.066","5700","0.6","false","0.04786327","5700","0.965870584408684","0.04622972456661063"
"1291","1315","1.066","5600","0.6","false","0.04786327","5600","0.9548803229889054","0.045703694716905184"
"1316","1325","1.066","5000","0.6","false","0.04786327","5000","0.9441945752384482","0.045192239887173156"
"1326","1348","1.066","5700","0.6","false","0.04786327","5700","0.9632630326986277","0.046104918615073244"
"1349","1351","1.066","3000","0.6","true","0.04786327","3000","0.7990724011937701","0.03824621808788574"
"1352","1377","1.066","3000","0.6","false","0.04786327","3000","0.9561223859360962","0.045763143911103574"
"1378","1400","1.066","2500","0.6","false","0.04786327","2500","0.9482435116828083","0.04538603522542241"
"1401","1430","1.066","2400","0.6","false","0.04786327","2400","0.9528753298817595","0.04560772919046972"
"1431","1450","1.066","2300","0.6","false","0.04786327","2300","0.9527177636689055","0.045600187556281015"
"1451","1490","1.066","2600","0.6","false","0.04786327","2600","0.9618268595332962","0.046036178671094226"
"1491","1522","1.066","2800","0.6","false","0.04786327","2800","0.9576758952218226","0.045837499945493805"
"1523","1541","1.066","3400","0.6","false","0.04786327","3400","0.9795465968396899","0.04688430324211922"
"1542","1560","1.066","3800","0.6","false","0.04786327","3800","0.9615801983374486","0.046024372659678854"
"1561","1600","1.066","5000","0.6","false","0.04786327","5000","0.975289917949864","0.04668056467111219"
"1601","1650","1.066","6300","0.6","false","0.04786327","6300","0.9698978767116259","0.04642248394547526"
"1651","1700","1.066","6200","0.6","false","0.04786327","6200","0.9544063825585041","0.04568101037812097"
"1701","1801","1.066","11300","0.6","false","0.04786327","11300","0.992922497928529","0.047524517607427624"
"1802","1811","1.066","12500","0.6","false","0.04786327","12500","0.9700205929066348","0.04642835754385034"
"1812","1821","1.066","13400","0.6","false","0.04786327","13400","0.965689077956067","0.04622103707426228"
"1822","1831","1.066","15800","0.6","false","0.04786327","15800","0.9875901733681299","0.04726929511726561"
"1832","1841","1.066","20200","0.6","false","0.04786327","20200","1.018087430319753","0.04872899356100052"
"1842","1851","1.066","27400","0.6","false","0.04786327","27400","1.0509082292739786","0.050299904322962344"
"1852","1861","1.066","29000","0.6","false","0.04786327","29000","0.9684249815065872","0.04635198636459479"
"1862","1871","1.066","31500","0.6","false","0.04786327","31500","0.972296120002229","0.04653727171161909"
"1872","1881","1.066","35000","0.6","false","0.04786327","35000","0.9778448851096281","0.04680285375412111"
"1882","1891","1.066","37800","0.6","false","0.04786327","37800","0.9694523709045099","0.0464011605807427"
"1892","1901","1.066","38200","0.6","false","0.04786327","38200","0.9603981901330391","0.04596779788184899"
"1902","1911","1.003","42100","0.13","false","0.04786327","42100","1.0045908283665752","0.04808300205763305"
"1912","1921","1.003","44000","0.13","false","0.04786327","44000","0.9672521694741318","0.04629585174562613"
"1922","1931","1.003","45000","0.13","false","0.04786327","45000","0.9682860586193058","0.04634533706093166"
"1932","1941","1.003","50200","0.13","false","0.04786327","50200","1.0547164899006138","0.05048218012956535"
"1942","1951","1.003","52800","0.13","false","0.04786327","52800","1.0864498489473455","0.05200104246162601"
"1952","1961","1.003","55900","0.13","false","0.04786327","55900","1.0960593340404183","0.05246098384119673"
"1962","1971","1.003","56300","0.13","false","0.04786327","56300","1.035344334952103","0.04955496544678294"
"1972","1981","1.003","57400","0.13","false","0.04786327","57400","1.0513068300490411","0.05031898265948137"
"1982","1991","1.003","59300","0.13","false","0.04786327","59300","1.056795470611338","0.050581686944647535"
"1992","2001","1.003","63200","0.13","false","0.04786327","63200","1.085985985944734","0.05197884046148901"
"2002","2011","1.003","65600","0.13","false","0.04786327","65600","1.0839771241584375","0.05188268976741882"
"2012","2015","1.003","66270","0.13","false","0.04786327","66270","1.0694538570791727","0.05118755871392185"
