"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","0.011718","1500","5.69694228301639","0.06675676967238606"
"1","43","1.066","2000","0.6","false","0.008787999999999999","2000","3.7428868583824553","0.032892489711465016"
"44","200","1.066","4500","0.6","false","0.008787999999999999","4500","1.1274931701459203","0.009908409979242347"
"201","410","1.066","3000","0.6","false","0.008787999999999999","3000","0.9916882212001616","0.00871495608790702"
"411","430","1.066","1250","0.6","false","0.008787999999999999","1250","0.9373400241139315","0.00823734413191323"
"431","500","1.066","1300","0.6","false","0.008787999999999999","1300","0.950217501914531","0.008350511406824898"
"501","750","1.066","1300","0.6","false","0.008787999999999999","1300","0.9276872374394143","0.008152515442617572"
"751","950","1.066","1400","0.6","false","0.008787999999999999","1400","0.9138912454608145","0.008031276265109636"
"951","1066","1.066","1500","0.6","false","0.008787999999999999","1500","0.8877687805108564","0.007801712043129405"
"1067","1086","1.066","2000","0.6","false","0.008787999999999999","2000","0.9105733273041858","0.008002118400349183"
"1087","1190","1.066","3700","0.6","false","0.006591","3700","3.8411364295301236","0.02531693020703304"
"1191","1220","1.066","4800","0.6","false","0.006591","4800","1.1931005962466443","0.007863726029861632"
"1221","1250","1.066","5000","0.6","false","0.006591","5000","1.1694426645232132","0.007707796601872498"
"1251","1279","1.066","5300","0.6","false","0.006591","5300","1.1664936903558016","0.007688359913135088"
"1280","1290","1.066","5700","0.6","false","0.006591","5700","1.1743297814028248","0.007740007589226018"
"1291","1315","1.066","5600","0.6","false","0.006591","5600","1.1627972058033618","0.007663996383449957"
"1316","1325","1.066","5000","0.6","false","0.006591","5000","1.1530187214461705","0.007599546393051709"
"1326","1348","1.066","5700","0.6","false","0.006591","5700","1.1785493946881447","0.007767819060389561"
"1349","1351","1.066","3000","0.6","true","0.006591","3000","0.9854774619850891","0.006495281951943722"
"1352","1377","1.066","3000","0.6","false","0.006591","3000","1.165357323471059","0.007680870118997749"
"1378","1400","1.066","2500","0.6","false","0.006591","2500","1.1568624038256252","0.0076248801036146955"
"1401","1430","1.066","2400","0.6","false","0.006591","2400","1.1654188829166359","0.007681275857303546"
"1431","1450","1.066","2300","0.6","false","0.006591","2300","1.1621586678448512","0.007659787779765414"
"1451","1490","1.066","2600","0.6","false","0.006591","2600","1.1688241330765656","0.007703719861107644"
"1491","1522","1.066","2800","0.6","false","0.006591","2800","1.1652678015117568","0.007680280079763988"
"1523","1541","1.066","3400","0.6","false","0.006591","3400","1.188571362821369","0.007833873852355643"
"1542","1560","1.066","3800","0.6","false","0.006591","3800","1.1697606701308925","0.007709892576832712"
"1561","1600","1.066","5000","0.6","false","0.006591","5000","1.185826543702646","0.00781578274954414"
"1601","1650","1.066","6300","0.6","false","0.006591","6300","1.1754007637974042","0.007747066434188691"
"1651","1700","1.066","6200","0.6","false","0.006591","6200","1.1609299698948656","0.007651689431577059"
"1701","1801","1.066","11300","0.6","false","0.006591","11300","1.2001957532362353","0.007910490209580026"
"1802","1811","1.066","12500","0.6","false","0.006591","12500","1.1710103833132801","0.007718129436417829"
"1812","1821","1.066","13400","0.6","false","0.006591","13400","1.1647777081809898","0.0076770498746209035"
"1822","1831","1.066","15800","0.6","false","0.006591","15800","1.189454199376001","0.007839692628087222"
"1832","1841","1.066","20200","0.6","false","0.006591","20200","1.2270247717656735","0.008087320270707554"
"1842","1851","1.066","27400","0.6","false","0.006591","27400","1.259802173794092","0.00830335612747686"
"1852","1861","1.066","29000","0.6","false","0.006591","29000","1.1616108313948748","0.007656176989723619"
"1862","1871","1.066","31500","0.6","false","0.006591","31500","1.1641821244262522","0.007673124382093428"
"1872","1881","1.066","35000","0.6","false","0.006591","35000","1.1680215286343962","0.007698429895229305"
"1882","1891","1.066","37800","0.6","false","0.006591","37800","1.159794206992506","0.0076442036182876065"
"1892","1901","1.066","38200","0.6","false","0.006591","38200","1.1499751222950736","0.00757948603104683"
"1902","1911","1.003","42100","0.13","false","0.006591","42100","1.1873293025269582","0.007825687432955182"
"1912","1921","1.003","44000","0.13","false","0.006591","44000","1.1381841304619986","0.007501771603875032"
"1922","1931","1.003","45000","0.13","false","0.006591","45000","1.1394810039042298","0.007510319296732778"
"1932","1941","1.003","50200","0.13","false","0.006591","50200","1.2047193571403798","0.007940305282912242"
"1942","1951","1.003","52800","0.13","false","3.0016469999999997","52800","3.569190649624555","10.713450405873596"
"1952","1961","1.003","55900","0.13","false","3.0016469999999997","55900","1.1489087493116128","3.448618500644954"
"1962","1971","1.003","56300","0.13","false","3.0016469999999997","56300","1.0189471473653047","3.0585196480476244"
"1972","1981","1.003","57400","0.13","false","3.0016469999999997","57400","0.9512600467711808","2.8553468656105743"
"1982","1991","1.003","59300","0.13","false","0.007326999999999999","59300","11.140724590058026","0.08162808907135514"
"1992","2001","1.003","63200","0.13","false","0.007326999999999999","63200","1.0676014812717693","0.007822316053278253"
"2002","2011","1.003","65600","0.13","false","0.007326999999999999","65600","1.049323585587395","0.007688393911598842"
"2012","2015","1.003","66270","0.13","false","0.007326999999999999","66270","1.0446049404561748","0.007653820398722392"
