"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.00075","1500","2.8497909217113095","2.851928264902593"
"1","43","1.066","2000","0.6","false","1.00075","2000","1.1237918630600512","1.1246347069573464"
"44","200","1.066","4500","0.6","false","0.50087499","4500","2.2329894776771297","1.1184485823016377"
"201","410","1.066","3000","0.6","false","0.50087499","3000","1.0947732705644848","0.5483445509462537"
"411","430","1.066","1250","0.6","false","0.50087499","1250","1.0056480921339541","0.5037039780911133"
"431","500","1.066","1300","0.6","false","0.50087499","1300","1.0328216906114678","0.517314553956802"
"501","750","1.066","1300","0.6","false","0.50087499","1300","1.0192787575981925","0.5105312375192071"
"751","950","1.066","1400","0.6","false","0.50087499","1400","1.0139961231245003","0.5078852980300229"
"951","1066","1.066","1500","0.6","false","0.50087499","1500","1.0106355653976837","0.5062020787122092"
"1067","1086","1.066","2000","0.6","false","0.50087499","2000","1.055608568878828","0.5287279313810973"
"1087","1190","1.066","3700","0.6","false","0.50087499","3700","1.0591132646364474","0.530483345833648"
"1191","1220","1.066","4800","0.6","false","0.50087499","4800","1.0425567453661826","0.5221905994097192"
"1221","1250","1.066","5000","0.6","false","0.50087499","5000","1.016041059853245","0.5089095556935835"
"1251","1279","1.066","5300","0.6","false","0.50087499","5300","1.0157230843025025","0.5087502896927851"
"1280","1290","1.066","5700","0.6","false","0.50087499","5700","1.0255460767870048","0.5136703809552303"
"1291","1315","1.066","5600","0.6","false","0.50087499","5600","1.010175904489452","0.5059718460593953"
"1316","1325","1.066","5000","0.6","false","0.50087499","5000","0.9980616225900254","0.4999041052341628"
"1326","1348","1.066","5700","0.6","false","0.50087499","5700","1.0232413151719448","0.5125159835043347"
"1349","1351","1.066","3000","0.6","true","0.50087499","3000","0.8517173985801382","0.42660394349665276"
"1352","1377","1.066","3000","0.6","false","0.50087499","3000","1.0116565994849696","0.5067134891504681"
"1378","1400","1.066","2500","0.6","false","0.50087499","2500","1.006797418202032","0.5042796467739686"
"1401","1430","1.066","2400","0.6","false","0.50087499","2400","1.0066491098919397","0.5042053628506342"
"1431","1450","1.066","2300","0.6","false","0.50087499","2300","1.0074185321180356","0.5045907472004357"
"1451","1490","1.066","2600","0.6","false","0.50087499","2600","1.0137241033695974","0.5077490501380061"
"1491","1522","1.066","2800","0.6","false","0.50087499","2800","1.0125813388010403","0.5071766679461577"
"1523","1541","1.066","3400","0.6","false","0.50087499","3400","1.0355149216637287","0.5186635260331709"
"1542","1560","1.066","3800","0.6","false","0.50087499","3800","1.024642582744662","0.5132178433858068"
"1561","1600","1.066","5000","0.6","false","0.50087499","5000","1.03479189638485","0.5183013807538428"
"1601","1650","1.066","6300","0.6","false","0.50087499","6300","1.0290865203057542","0.5154437005672795"
"1651","1700","1.066","6200","0.6","false","0.50087499","6200","1.0129567449239112","0.5073646994841966"
"1701","1801","1.066","11300","0.6","false","0.50087499","11300","1.0533110604519442","0.527577166870757"
"1802","1811","1.066","12500","0.6","false","0.50087499","12500","1.0292355790128729","0.515518360345717"
"1812","1821","1.066","13400","0.6","false","0.50087499","13400","1.019859860686693","0.5108222975228488"
"1822","1831","1.066","15800","0.6","false","0.50087499","15800","1.051274397822522","0.5265570534966117"
"1832","1841","1.066","20200","0.6","false","0.50087499","20200","1.087949054858031","0.5449264719725257"
"1842","1851","1.066","27400","0.6","false","0.50087499","27400","1.128921990288109","0.5654487905963367"
"1852","1861","1.066","29000","0.6","false","0.50087499","29000","1.0388158347672005","0.5203168708508632"
"1862","1871","1.066","31500","0.6","false","0.50087499","31500","1.040949774112104","0.5213857076989025"
"1872","1881","1.066","35000","0.6","false","0.50087499","35000","1.0463257250861728","0.5240783870892796"
"1882","1891","1.066","37800","0.6","false","0.50087499","37800","1.0397657166835261","0.520792642946204"
"1892","1901","1.066","38200","0.6","false","0.50087499","38200","1.0254770098745616","0.513635787066151"
"1902","1911","1.003","42100","0.13","false","0.50087499","42100","1.1040237997334161","0.5529779096512368"
"1912","1921","1.003","44000","0.13","false","0.50087499","44000","1.0722918638450003","0.5370841765804459"
"1922","1931","1.003","45000","0.13","false","0.50087499","45000","1.0702132991700208","0.5360430755196512"
"1932","1941","1.003","50200","0.13","false","0.50087499","50200","1.1844052208758769","0.5932389531621526"
"1942","1951","1.003","52800","0.13","false","0.50087499","52800","1.2821797549365037","0.6422117719320237"
"1952","1961","1.003","55900","0.13","false","0.50087499","55900","1.3471718095275365","0.6747646666253867"
"1962","1971","1.003","56300","0.13","false","0.50087499","56300","1.2604553242665972","0.6313305479374787"
"1972","1981","1.003","57400","0.13","false","0.50087499","57400","1.2765513737510679","0.6393926565620524"
"1982","1991","1.003","59300","0.13","false","0.50087499","59300","1.3074811512004991","0.6548846085327386"
"1992","2001","1.003","63200","0.13","false","0.50087499","63200","1.366400983372009","0.6843960788824452"
"2002","2011","1.003","65600","0.13","false","0.50087499","65600","1.3938368866979254","0.6981380366864546"
"2012","2015","1.003","66270","0.13","false","0.50087499","66270","1.3856061370200303","0.6940154600238464"
