"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","3.75","1500","6.711380300263339","25.16767612598752"
"1","43","1.066","2000","0.6","false","3.75","2000","1.055398130499273","3.9577429893722735"
"44","200","1.066","4500","0.6","false","2.8125","4500","3.5960226027111055","10.113813570124984"
"201","410","1.066","3000","0.6","false","2.109375","3000","3.472470518555222","7.324742500077421"
"411","430","1.066","1250","0.6","false","2.109375","1250","0.9291083822840649","1.9598379938804493"
"431","500","1.066","1300","0.6","false","2.109375","1300","0.9244480259642353","1.9500075547683087"
"501","750","1.066","1300","0.6","false","1.582031","1300","3.6924195835869176","5.8415222462415946"
"751","950","1.066","1400","0.6","false","1.582031","1400","1.0689699992167012","1.691143676830797"
"951","1066","1.066","1500","0.6","false","1.582031","1500","1.0374045789989306","1.641206203518257"
"1067","1086","1.066","2000","0.6","false","1.582031","2000","1.0640404963601122","1.6833450504970846"
"1087","1190","1.066","3700","0.6","false","1.582031","3700","1.0515654128837517","1.6636090817098945"
"1191","1220","1.066","4800","0.6","false","1.582031","4800","1.0245742756542262","1.6209082658875311"
"1221","1250","1.066","5000","0.6","false","1.582031","5000","1.0003540876623334","1.5825911776585289"
"1251","1279","1.066","5300","0.6","false","1.582031","5300","0.9957668980226952","1.5753341014457425"
"1280","1290","1.066","5700","0.6","false","1.582031","5700","0.9969333676077198","1.5771794924898086"
"1291","1315","1.066","5600","0.6","false","1.582031","5600","0.9887309666010978","1.5642030398229014"
"1316","1325","1.066","5000","0.6","false","1.582031","5000","0.9756855415258846","1.5435647729457367"
"1326","1348","1.066","5700","0.6","false","1.582031","5700","0.992954166858808","1.5708842735498068"
"1349","1351","1.066","3000","0.6","true","1.582031","3000","0.8099430766027961","1.281355055420998"
"1352","1377","1.066","3000","0.6","false","1.582031","3000","0.9805202169613774","1.5512133793596248"
"1378","1400","1.066","2500","0.6","false","1.582031","2500","0.970000244545516","1.5345704568785872"
"1401","1430","1.066","2400","0.6","false","1.582031","2400","0.9723797906620605","1.5383349726008901"
"1431","1450","1.066","2300","0.6","false","1.582031","2300","0.9651375364172345","1.526877501875694"
"1451","1490","1.066","2600","0.6","false","1.582031","2600","0.9722141872542265","1.5380729828759911"
"1491","1522","1.066","2800","0.6","false","1.582031","2800","0.9662228108737352","1.528594439709386"
"1523","1541","1.066","3400","0.6","false","1.582031","3400","0.9787926807716482","1.5484803635538513"
"1542","1560","1.066","3800","0.6","false","1.582031","3800","0.9671044144036373","1.5299891638234007"
"1561","1600","1.066","5000","0.6","false","1.582031","5000","0.9707086068244666","1.5356911079631177"
"1601","1650","1.066","6300","0.6","false","1.582031","6300","0.9599179098549527","1.5186198908457407"
"1651","1700","1.066","6200","0.6","false","1.582031","6200","0.94273101699534","1.4914296935481548"
"1701","1801","1.066","11300","0.6","false","1.582031","11300","0.9664855061703724","1.5290100318122204"
"1802","1811","1.066","12500","0.6","false","1.582031","12500","0.9431109857755955","1.492030815937551"
"1812","1821","1.066","13400","0.6","false","1.582031","13400","0.934891161216294","1.4790267986701748"
"1822","1831","1.066","15800","0.6","false","1.582031","15800","0.952997256750292","1.5076712030939212"
"1832","1841","1.066","20200","0.6","false","1.582031","20200","0.981719356457835","1.5531104552163453"
"1842","1851","1.066","27400","0.6","false","1.582031","27400","1.0048046749612625","1.589632144733641"
"1852","1861","1.066","29000","0.6","false","1.582031","29000","0.9298389349828285","1.471034020149819"
"1862","1871","1.066","31500","0.6","false","1.582031","31500","0.932488164433332","1.4752251832666288"
"1872","1881","1.066","35000","0.6","false","1.582031","35000","0.9348904165810282","1.4790256206341006"
"1882","1891","1.066","37800","0.6","false","1.582031","37800","0.9288393459647886","1.4694526393360203"
"1892","1901","1.066","38200","0.6","false","1.582031","38200","0.9214568837589951","1.4577733552701269"
"1902","1911","1.003","42100","0.13","false","1.582031","42100","0.9504641175177182","1.5036636983006733"
"1912","1921","1.003","44000","0.13","false","1.582031","44000","0.9111445772692299","1.4414589667218172"
"1922","1931","1.003","45000","0.13","false","1.582031","45000","0.9116545478745899","1.4422657560285852"
"1932","1941","1.003","50200","0.13","false","1.582031","50200","0.9647828591748577","1.5263163914832594"
"1942","1951","1.003","52800","0.13","false","1.582031","52800","0.9483687842313747","1.5003488160863458"
"1952","1961","1.003","55900","0.13","false","1.582031","55900","0.9391618106059179","1.4857830983946907"
"1962","1971","1.003","56300","0.13","false","1.582031","56300","0.922301760551686","1.4591099765473443"
"1972","1981","1.003","57400","0.13","false","1.582031","57400","0.9244760224550277","1.4625497262805498"
"1982","1991","1.003","59300","0.13","false","1.582031","59300","0.9249106334337733","1.4632372943218659"
"1992","2001","1.003","63200","0.13","false","1.582031","63200","0.941125145983891","1.4888891558260409"
"2002","2011","1.003","65600","0.13","false","1.582031","65600","0.9270086605008302","1.466556438180789"
"2012","2015","1.003","66270","0.13","false","1.582031","66270","0.9210332250471622","1.4571031140545871"
