Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1500000,0.6,false,6.0,1500000,2.1652998813396627,12.991799288037976
1,43,1.066,2000000,0.6,false,4.5,2000000,3.745759340253734,16.855917031141804
44,200,1.066,4500000,0.6,false,4.5,4500000,1.1538532840895854,5.192339778403134
201,410,1.066,3000000,0.6,false,4.5,3000000,1.1292618132048435,5.081678159421796
411,430,1.066,1200000,0.6,false,4.5,1200000,1.2162144522144518,5.472965034965033
431,500,1.066,1300000,0.6,false,4.5,1300000,1.1688466295609152,5.259809833024119
501,750,1.066,1300000,0.6,false,5.375,1300000,2.982146825843583,16.02903918890926
751,950,1.066,1400000,0.6,false,5.375,1400000,0.9762870103752457,5.247542680766945
951,1066,1.066,1500000,0.6,false,4.03125,1500000,4.221346213659655,17.017301923815484
1067,1086,1.066,2000000,0.6,false,6.015625,2000000,2.505057689353019,15.069487662514256
1087,1190,1.066,3700000,0.6,false,4.511718,3700000,3.6918543383175044,16.656605671565174
1191,1220,1.066,4800000,0.6,false,4.511718,4800000,1.1236302330621073,5.069502747850505
1221,1250,1.066,5000000,0.6,false,4.511718,5000000,1.0855646341880352,4.897761500229573
1251,1279,1.066,5300000,0.6,false,4.511718,5300000,1.123472190934301,5.068789706337723
1280,1290,1.066,5700000,0.6,false,4.511718,5700000,1.1034486742962284,4.978449245898431
1291,1315,1.066,5600000,0.6,false,4.511718,5600000,1.1240403726767856,5.071353182132562
1316,1325,1.066,5000000,0.6,false,4.511718,5000000,1.084320270131905,4.892147280518978
1326,1348,1.066,5700000,0.6,false,4.511718,5700000,1.1206002381623383,5.055832265321309
1349,1351,1.066,3000000,0.6,true,4.511718,3000000,0.9259259259259259,4.1775166666666665
1352,1377,1.066,3000000,0.6,false,4.511718,3000000,1.0970079619476383,4.949390568062475
1378,1400,1.066,2500000,0.6,false,4.511718,2500000,1.0990422741449402,4.958568811020661
1401,1430,1.066,2400000,0.6,false,4.511718,2400000,1.1397472336968906,5.142218109720468
1431,1450,1.066,2300000,0.6,false,4.511718,2300000,1.138176691729323,5.135132267255638
1451,1490,1.066,2600000,0.6,false,4.511718,2600000,1.0949245927180709,4.939990993608789
1491,1522,1.066,2800000,0.6,false,4.511718,2800000,1.1212986188529668,5.058983162054069
1523,1541,1.066,3400000,0.6,false,4.511718,3400000,1.1429404560945455,5.156625028689971
1542,1560,1.066,3800000,0.6,false,4.511718,3800000,1.1402246502652185,5.144372078645291
1561,1600,1.066,5000000,0.6,false,4.511718,5000000,1.1317230743358409,5.106015365496352
1601,1650,1.066,6300000,0.6,false,4.511718,6300000,1.1341490175026463,5.116960536949004
1651,1700,1.066,6200000,0.6,false,4.511718,6200000,1.0945545577905402,4.938321500365621
1701,1801,1.066,11300000,0.6,false,4.511718,11300000,1.14491970207913,5.165554828425048
1802,1811,1.066,12500000,0.6,false,4.511718,12500000,1.1211030370961945,5.058100752321569
1812,1821,1.066,13400000,0.6,false,4.511718,13400000,1.104501506193754,4.983199326521471
1822,1831,1.066,15800000,0.6,false,4.511718,15800000,1.1472011459510922,5.17584805980817
1832,1841,1.066,20200000,0.6,false,4.511718,20200000,1.1626945874083119,5.245750098512654
1842,1851,1.066,27400000,0.6,false,4.511718,27400000,1.2433149305116964,5.60948635165837
1852,1861,1.066,29000000,0.6,false,4.511718,29000000,1.0920538928016552,4.9270392051232985
1862,1871,1.066,31500000,0.6,false,4.511718,31500000,1.1107425748164226,5.0113572681656
1872,1881,1.066,35000000,0.6,false,4.511718,35000000,1.1107141871947754,5.011229191222038
1882,1891,1.066,37800000,0.6,false,4.511718,37800000,1.1069409611880245,4.9942054595293115
1892,1901,1.066,38200000,0.6,false,4.511718,38200000,1.0989590222477885,4.958193201937748
1902,1911,1.003,42100000,0.13,false,4.511718,42100000,1.1349432280682428,5.1205437910535965
1912,1921,1.003,44000000,0.13,false,4.511718,44000000,1.0880162127291446,4.908822331261911
1922,1931,1.003,45000000,0.13,false,4.511718,45000000,1.0800430387597824,4.872849618747208
1932,1941,1.003,50200000,0.13,false,4.511718,50200000,1.1227122506665872,5.065361070152954
1942,1951,1.003,52800000,0.13,false,4.511718,52800000,1.1144276661187225,5.02798336092583
1952,1961,1.003,55900000,0.13,false,4.511718,55900000,1.1240603987311466,5.0714435340424915
1962,1971,1.003,56300000,0.13,false,4.511718,56300000,1.094784276343691,4.939357925696805
1972,1981,1.003,57400000,0.13,false,4.511718,57400000,1.103166415952552,4.977175775848616
1982,1991,1.003,59300000,0.13,false,4.511718,59300000,1.1114842310244586,5.014703411829208
1992,2001,1.003,63200000,0.13,false,4.511718,63200000,1.1140735810473417,5.026385828935751
2002,2011,1.003,65600000,0.13,false,4.511718,65600000,1.1131833078592712,5.022369167368216
2012,2015,1.003,66200000,0.13,false,4.511718,66200000,1.1070403682515082,4.9946539561669585
