"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population"
"-50","399","1.066","4000","0.6","false","1.1728164","4000"
"400","1085","1.066","1700","0.6","false","1.1728164","1700"
"1086","1189","1.066","0","0.6","false","1.14506584","3100"
"1190","1219","1.066","0","0.6","false","1.14966909","3970"
"1220","1249","1.066","0","0.6","false","1.1406951","4230"
"1250","1278","1.066","0","0.6","false","1.1406951","4430"
"1279","1289","1.066","0","0.6","false","1.14990374","4750"
"1290","1314","1.066","0","0.6","false","1.13644001","4690"
"1315","1324","1.066","0","0.6","false","1.11869875","4120"
"1325","1347","1.066","0","0.6","false","1.1463569","4810"
"1348","1350","1.066","0","0.6","true","0.91370627","2600"
"1351","1376","1.066","0","0.6","false","1.13737376","2500"
"1377","1399","1.066","0","0.6","false","1.12405687","2080"
"1400","1429","1.066","0","0.6","false","1.13327363","2020"
"1430","1449","1.066","0","0.6","false","1.13557669","1900"
"1450","1489","1.066","0","0.6","false","1.1378794700000001","2140"
"1490","1521","1.066","0","0.6","false","1.1378794700000001","2350"
"1522","1540","1.066","0","0.6","false","1.14708948","2830"
"1541","1559","1.066","0","0.6","false","1.14708948","3200"
"1560","1599","1.066","0","0.6","false","1.14485101","4110"
"1600","1649","1.066","0","0.6","false","1.14485101","5310"
"1650","1699","1.066","0","0.6","false","1.13591467","5200"
"1700","1800","1.066","0","0.6","false","1.14052015","7755"
"1801","1810","1.066","0","0.6","false","1.1497288700000001","8762"
"1811","1820","1.066","0","0.6","false","1.16813733","10402"
"1821","1830","1.066","0","0.6","false","1.1499008","12012"
"1831","1840","1.066","0","0.6","false","1.1499008","13659"
"1841","1850","1.066","0","0.6","false","1.16830909","15289"
"1851","1860","1.066","0","0.6","false","1.16830909","18325"
"1861","1870","1.066","0","0.6","false","1.15918948","21361"
"1871","1880","1.066","0","0.6","false","1.15918948","24297"
"1881","1890","1.066","0","0.6","false","1.15918948","27231"
"1891","1900","1.066","0","0.6","false","1.15918948","30000"
"1901","2015","1.003","0","0.13","false","1.45357714","65000"
