"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","2.0","1500","0.9939351366965085","1.987870273393017"
"1","43","1.066","2000","0.6","false","2.0","2000","0.9247272041754441","1.8494544083508881"
"44","200","1.066","4500","0.6","false","1.5","4500","3.6342885623893144","5.451432843583971"
"201","410","1.066","3000","0.6","false","1.5","3000","0.970526343010002","1.4557895145150028"
"411","430","1.066","1250","0.6","false","1.5","1250","0.9006322263153356","1.3509483394730033"
"431","500","1.066","1300","0.6","false","1.5","1300","0.9139931909907003","1.3709897864860505"
"501","750","1.066","1300","0.6","false","1.125","1300","3.7756332975079983","4.247587459696498"
"751","950","1.066","1400","0.6","false","1.125","1400","1.1220252660884633","1.2622784243495213"
"951","1066","1.066","1500","0.6","false","1.125","1500","1.1083638118451593","1.2469092883258042"
"1067","1086","1.066","2000","0.6","false","1.125","2000","1.1453924240555753","1.2885664770625223"
"1087","1190","1.066","3700","0.6","false","1.125","3700","1.1401635490308162","1.2826839926596683"
"1191","1220","1.066","4800","0.6","false","1.125","4800","1.1187874574505332","1.25863588963185"
"1221","1250","1.066","5000","0.6","false","1.125","5000","1.094743841462685","1.2315868216455208"
"1251","1279","1.066","5300","0.6","false","1.125","5300","1.0939484033183762","1.230691953733173"
"1280","1290","1.066","5700","0.6","false","1.125","5700","1.0945622322425455","1.2313825112728636"
"1291","1315","1.066","5600","0.6","false","1.125","5600","1.087429650637269","1.2233583569669275"
"1316","1325","1.066","5000","0.6","false","1.125","5000","1.0706281639308908","1.2044566844222522"
"1326","1348","1.066","5700","0.6","false","1.125","5700","1.0958975672109936","1.2328847631123678"
"1349","1351","1.066","3000","0.6","true","1.125","3000","0.9151921301724819","1.0295911464440421"
"1352","1377","1.066","3000","0.6","false","1.125","3000","1.0826776848259665","1.2180123954292124"
"1378","1400","1.066","2500","0.6","false","1.125","2500","1.0718230882148938","1.2058009742417555"
"1401","1430","1.066","2400","0.6","false","1.125","2400","1.0770414696427055","1.2116716533480436"
"1431","1450","1.066","2300","0.6","false","1.125","2300","1.0754574984475442","1.2098896857534873"
"1451","1490","1.066","2600","0.6","false","1.125","2600","1.0813854899759892","1.2165586762229879"
"1491","1522","1.066","2800","0.6","false","1.125","2800","1.075090525398329","1.20947684107312"
"1523","1541","1.066","3400","0.6","false","1.125","3400","1.0900958687035707","1.226357852291517"
"1542","1560","1.066","3800","0.6","false","1.125","3800","1.078867701619775","1.2137261643222468"
"1561","1600","1.066","5000","0.6","false","1.125","5000","1.088273922673422","1.2243081630075996"
"1601","1650","1.066","6300","0.6","false","1.125","6300","1.0760757882259806","1.210585261754228"
"1651","1700","1.066","6200","0.6","false","1.125","6200","1.0631577139917285","1.1960524282406946"
"1701","1801","1.066","11300","0.6","false","1.125","11300","1.0953278682770993","1.2322438518117367"
"1802","1811","1.066","12500","0.6","false","1.125","12500","1.069536277440425","1.203228312120478"
"1812","1821","1.066","13400","0.6","false","1.125","13400","1.061564806574213","1.1942604073959895"
"1822","1831","1.066","15800","0.6","false","1.125","15800","1.0885259573161457","1.2245917019806638"
"1832","1841","1.066","20200","0.6","false","1.125","20200","1.1147589195146692","1.2541037844540028"
"1842","1851","1.066","27400","0.6","false","1.125","27400","1.1485947059503545","1.292169044194149"
"1852","1861","1.066","29000","0.6","false","1.125","29000","1.0600707390367248","1.1925795814163154"
"1862","1871","1.066","31500","0.6","false","1.125","31500","1.062474017129126","1.1952832692702668"
"1872","1881","1.066","35000","0.6","false","1.125","35000","1.068016099813638","1.2015181122903429"
"1882","1891","1.066","37800","0.6","false","1.125","37800","1.0602480484221315","1.192779054474898"
"1892","1901","1.066","38200","0.6","false","1.125","38200","1.0517833353836787","1.1832562523066386"
"1902","1911","1.003","42100","0.13","false","1.125","42100","1.084212728478509","1.2197393195383226"
"1912","1921","1.003","44000","0.13","false","1.125","44000","1.0412143118073054","1.1713661007832186"
"1922","1931","1.003","45000","0.13","false","1.125","45000","1.042095473152615","1.172357407296692"
"1932","1941","1.003","50200","0.13","false","1.125","50200","1.1039032503690527","1.2418911566651842"
"1942","1951","1.003","52800","0.13","false","1.125","52800","1.080849537036758","1.2159557291663528"
"1952","1961","1.003","55900","0.13","false","1.125","55900","1.0715786560419063","1.2055259880471445"
"1962","1971","1.003","56300","0.13","false","1.125","56300","1.0542953292905284","1.1860822454518445"
"1972","1981","1.003","57400","0.13","false","1.125","57400","1.0563486667192823","1.1883922500591926"
"1982","1991","1.003","59300","0.13","false","1.125","59300","1.0576828271127021","1.1898931805017898"
"1992","2001","1.003","63200","0.13","false","1.125","63200","1.0773398104416148","1.2120072867468166"
"2002","2011","1.003","65600","0.13","false","1.125","65600","1.0606829662169102","1.193268336994024"
"2012","2015","1.003","66270","0.13","false","1.125","66270","1.053088426664066","1.1847244799970744"
