Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1400000,0.6,false,2.5,1400000,1.996357237533707,4.990893093834268
1,43,1.066,2000000,0.6,false,2.5,2000000,0.8351729020333672,2.0879322550834183
44,200,1.066,4400000,0.6,false,1.875,4400000,3.808978015828355,7.141833779678166
201,410,1.066,3000000,0.6,false,1.875,3000000,1.1236338596450064,2.106813486834387
411,430,1.066,1200000,0.6,false,2.470703,1200000,2.9894064269064256,7.385935427176986
431,500,1.066,1200000,0.6,false,2.470703,1200000,1.1882993197278922,2.9359346941496622
501,750,1.066,1200000,0.6,false,2.470703,1200000,0.9937142857142856,2.455172866857142
751,950,1.066,1400000,0.6,false,1.2353509999999999,1400000,2.8609191919191845,3.5342393846565563
951,1066,1.066,1400000,0.6,false,2.446745,1400000,3.395630375371749,8.30824164278895
1067,1086,1.066,2000000,0.6,false,2.446745,2000000,0.9680611055611056,2.3685986697261074
1087,1190,1.066,3600000,0.6,false,2.446745,3600000,0.8623049120883357,2.109840232127575
1191,1220,1.066,4800000,0.6,false,2.446745,4800000,0.8568024219891028,2.096377041989727
1221,1250,1.066,5000000,0.6,false,2.446745,5000000,0.8295302521086482,2.0296489966955744
1251,1279,1.066,5200000,0.6,false,1.8350579999999999,5200000,4.051155648967105,7.434105582882276
1280,1290,1.066,5600000,0.6,false,1.8350579999999999,5600000,1.121921781921782,2.0587915412898212
1291,1315,1.066,5600000,0.6,false,1.8350579999999999,5600000,1.0985091044221478,2.0158279201426974
1316,1325,1.066,5000000,0.6,false,1.8350579999999999,5000000,1.1165378100160708,2.0489116405724705
1326,1348,1.066,5600000,0.6,false,1.8350579999999999,5600000,1.1026051154686838,2.0233443379817317
1349,1351,1.066,3000000,0.6,true,1.8350579999999999,3000000,0.9417582417582416,1.7281809956043952
1352,1377,1.066,3000000,0.6,false,1.8350579999999999,3000000,1.0949122992392224,2.009227574017329
1378,1400,1.066,2400000,0.6,false,1.8350579999999999,2400000,1.1536231884057968,2.1169654608695647
1401,1430,1.066,2400000,0.6,false,1.8350579999999999,2400000,1.0840204240204236,1.9892403512620704
1431,1450,1.066,2200000,0.6,false,1.8350579999999999,2200000,1.1461111111111109,2.103180363333333
1451,1490,1.066,2600000,0.6,false,1.8350579999999999,2600000,1.2374765512265515,2.270841245140693
1491,1522,1.066,2800000,0.6,false,1.8350579999999999,2800000,1.149275203962704,2.1089866572333915
1523,1541,1.066,3400000,0.6,false,1.8350579999999999,3400000,1.0968647580489685,2.012810449175824
1542,1560,1.066,3800000,0.6,false,2.4313849999999997,3800000,4.9972224466594435,12.15017169847107
1561,1600,1.066,5000000,0.6,false,2.4313849999999997,5000000,0.8425522270536951,2.0485688465749483
1601,1650,1.066,6200000,0.6,false,2.4313849999999997,6200000,0.8297427353423178,2.017424040570281
1651,1700,1.066,6200000,0.6,false,2.4313849999999997,6200000,0.8160263141797164,1.9840741399018496
1701,1801,1.066,11200000,0.6,false,2.4313849999999997,11200000,0.8511655970791656,2.069511265254327
1802,1811,1.066,12400000,0.6,false,2.4313849999999997,12400000,0.8306878616813727,2.019722006574164
1812,1821,1.066,13400000,0.6,false,2.4313849999999997,13400000,0.8137926313689784,1.9786431970210632
1822,1831,1.066,15800000,0.6,false,2.4313849999999997,15800000,0.8524307878187729,2.072587431040747
1832,1841,1.066,20200000,0.6,false,2.4313849999999997,20200000,0.8978115485753904,2.182925532032975
1842,1851,1.066,27400000,0.6,false,2.4313849999999997,27400000,0.8591810140739327,2.0889998299041483
1852,1861,1.066,29000000,0.6,false,2.4313849999999997,29000000,0.8216951640085298,1.9978572963428791
1862,1871,1.066,31400000,0.6,false,2.4313849999999997,31400000,0.8275260168186239,2.0120343444025495
1872,1881,1.066,35000000,0.6,false,2.4313849999999997,35000000,0.8211921075863607,1.9966341725038634
1882,1891,1.066,37800000,0.6,false,2.4313849999999997,37800000,0.8312587230287891,2.021109990291352
1892,1901,1.066,38200000,0.6,false,2.4313849999999997,38200000,0.8180414761049688,1.9889737743794793
1902,1911,1.003,42000000,0.13,false,2.4313849999999997,42000000,0.8358565761022442,2.0322891412863546
1912,1921,1.003,44000000,0.13,false,2.4313849999999997,44000000,0.8125381519237406,1.9755930745151038
1922,1931,1.003,45000000,0.13,false,2.4313849999999997,45000000,0.805078714824196,1.9574563110428276
1932,1941,1.003,50200000,0.13,false,2.4313849999999997,50200000,0.8929715123202637,2.1711575404828043
1942,1951,1.003,52800000,0.13,false,2.4313849999999997,52800000,0.9237879262021892,2.2460841069491093
1952,1961,1.003,55800000,0.13,false,2.4313849999999997,55800000,0.8856485885719536,2.153352693525019
1962,1971,1.003,56200000,0.13,false,2.4313849999999997,56200000,0.8183616913289378,1.9897523408718092
1972,1981,1.003,57400000,0.13,false,2.4313849999999997,57400000,0.8293719438886313,2.0165225037916596
1982,1991,1.003,59200000,0.13,false,2.4313849999999997,59200000,0.8166231213737577,1.9855252079613337
1992,2001,1.003,63200000,0.13,false,2.4313849999999997,63200000,0.8281283545029348,2.0134988592131178
2002,2011,1.003,65600000,0.13,false,2.4313849999999997,65600000,0.8255563400206978,2.007245301781224
2012,2015,1.003,66200000,0.13,false,2.4313849999999997,66200000,0.8229209950742928,2.0008377636087094
