"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.875","1500","4.218724742847317","7.9101088928387195"
"1","43","1.066","2000","0.6","false","1.875","2000","0.9715497447571334","1.821655771419625"
"44","200","1.066","4500","0.6","false","1.40625","4500","3.7909992508785098","5.331092696547905"
"201","410","1.066","3000","0.6","false","1.40625","3000","1.055189508811517","1.4838602467661959"
"411","430","1.066","1250","0.6","false","1.40625","1250","1.0129718270758055","1.4244916318253513"
"431","500","1.066","1300","0.6","false","1.40625","1300","1.0355613316025185","1.4562581225660416"
"501","750","1.066","1300","0.6","false","1.40625","1300","1.0250042862866067","1.4414122775905407"
"751","950","1.066","1400","0.6","false","1.40625","1400","1.0173878384507133","1.4307016478213157"
"951","1066","1.066","1500","0.6","false","1.40625","1500","1.0118432491316067","1.422904569091322"
"1067","1086","1.066","2000","0.6","false","1.40625","2000","1.0523485249598794","1.4798651132248304"
"1087","1190","1.066","3700","0.6","false","1.40625","3700","1.0449267443548833","1.4694282342490546"
"1191","1220","1.066","4800","0.6","false","1.40625","4800","1.0337648105965838","1.4537317649014458"
"1221","1250","1.066","5000","0.6","false","1.40625","5000","1.0105016909808515","1.4210180029418225"
"1251","1279","1.066","5300","0.6","false","1.40625","5300","1.0100340622570243","1.4203604000489405"
"1280","1290","1.066","5700","0.6","false","1.40625","5700","1.0134187892295559","1.425120172354063"
"1291","1315","1.066","5600","0.6","false","1.40625","5600","1.00769783537533","1.417075080996558"
"1316","1325","1.066","5000","0.6","false","1.40625","5000","1.002189478394065","1.409328953991654"
"1326","1348","1.066","5700","0.6","false","1.40625","5700","1.0167660888668137","1.429827312468957"
"1349","1351","1.066","3000","0.6","true","1.40625","3000","0.8512533181404159","1.19707497863496"
"1352","1377","1.066","3000","0.6","false","1.40625","3000","1.0075510849240041","1.416868713174381"
"1378","1400","1.066","2500","0.6","false","1.40625","2500","0.9992632970150545","1.4052140114274203"
"1401","1430","1.066","2400","0.6","false","1.40625","2400","1.004586482925657","1.412699741614205"
"1431","1450","1.066","2300","0.6","false","1.40625","2300","1.0021217573617474","1.4092337212899573"
"1451","1490","1.066","2600","0.6","false","1.40625","2600","1.011144786660413","1.4219223562412058"
"1491","1522","1.066","2800","0.6","false","1.40625","2800","1.009597848271343","1.419746974131576"
"1523","1541","1.066","3400","0.6","false","1.40625","3400","1.0294922666116022","1.4477234999225657"
"1542","1560","1.066","3800","0.6","false","1.40625","3800","1.0164814008939107","1.4294269700070619"
"1561","1600","1.066","5000","0.6","false","1.40625","5000","1.0241505148221273","1.4402116614686165"
"1601","1650","1.066","6300","0.6","false","1.40625","6300","1.0159436247201938","1.4286707222627726"
"1651","1700","1.066","6200","0.6","false","1.40625","6200","1.0051883376710133","1.4135460998498626"
"1701","1801","1.066","11300","0.6","false","1.40625","11300","1.039146095478303","1.4612991967663636"
"1802","1811","1.066","12500","0.6","false","1.40625","12500","1.016746534270085","1.429799813817307"
"1812","1821","1.066","13400","0.6","false","1.40625","13400","1.0145219319685514","1.4266714668307754"
"1822","1831","1.066","15800","0.6","false","1.40625","15800","1.0351875342376766","1.4557324700217327"
"1832","1841","1.066","20200","0.6","false","1.40625","20200","1.0630882660479322","1.4949678741299046"
"1842","1851","1.066","27400","0.6","false","1.40625","27400","1.0950403283361632","1.5399004617227294"
"1852","1861","1.066","29000","0.6","false","1.40625","29000","1.0104501998284598","1.4209455935087716"
"1862","1871","1.066","31500","0.6","false","1.40625","31500","1.0134309518514837","1.425137276041149"
"1872","1881","1.066","35000","0.6","false","1.40625","35000","1.018841096051485","1.432745291322401"
"1882","1891","1.066","37800","0.6","false","1.40625","37800","1.0144844674697513","1.4266187823793377"
"1892","1901","1.066","38200","0.6","false","1.40625","38200","1.0063410598462403","1.4151671154087755"
"1902","1911","1.003","42100","0.13","false","1.40625","42100","1.0399756237453632","1.462465720891917"
"1912","1921","1.003","44000","0.13","false","1.40625","44000","0.996161378981458","1.4008519391926753"
"1922","1931","1.003","45000","0.13","false","1.40625","45000","0.997910769825765","1.403312020067482"
"1932","1941","1.003","50200","0.13","false","1.40625","50200","1.054672528460958","1.483133243148222"
"1942","1951","1.003","52800","0.13","false","1.40625","52800","1.0395870501616542","1.4619192892898263"
"1952","1961","1.003","55900","0.13","false","1.40625","55900","1.0296218147092775","1.4479056769349214"
"1962","1971","1.003","56300","0.13","false","1.40625","56300","1.009860323166584","1.4201160794530086"
"1972","1981","1.003","57400","0.13","false","1.40625","57400","1.0125087713249674","1.4238404596757355"
"1982","1991","1.003","59300","0.13","false","1.40625","59300","1.0148759658865576","1.4271693270279717"
"1992","2001","1.003","63200","0.13","false","1.40625","63200","1.0334762721737172","1.4533260077442898"
"2002","2011","1.003","65600","0.13","false","1.40625","65600","1.0181431542050623","1.4317638106008688"
"2012","2015","1.003","66270","0.13","false","1.40625","66270","1.010962530847756","1.4216660590046568"
