"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population"
"-50","399","1.066","4000","0.6","false","2.578125","4000"
"400","1085","1.066","1700","0.6","false","2.537841","1700"
"1086","1189","1.066","0","0.6","false","2.5413859999999997","3100"
"1190","1219","1.066","0","0.6","false","2.543749","3970"
"1220","1249","1.066","0","0.6","false","2.541264","4230"
"1250","1278","1.066","0","0.6","false","2.5400229999999997","4430"
"1279","1289","1.066","0","0.6","false","2.54475","4750"
"1290","1314","1.066","0","0.6","false","2.539779","4690"
"1315","1324","1.066","0","0.6","false","2.537298","4120"
"1325","1347","1.066","0","0.6","false","2.5420249999999998","4810"
"1348","1350","1.066","0","0.6","true","2.502305","2600"
"1351","1376","1.066","0","0.6","false","2.540145","2500"
"1377","1399","1.066","0","0.6","false","2.537664","2080"
"1400","1429","1.066","0","0.6","false","2.538845","2020"
"1430","1449","1.066","0","0.6","false","2.538845","1900"
"1450","1489","1.066","0","0.6","false","2.538845","2140"
"1490","1521","1.066","0","0.6","false","2.5400259999999997","2350"
"1522","1540","1.066","0","0.6","false","2.542389","2830"
"1541","1559","1.066","0","0.6","false","2.542389","3200"
"1560","1599","1.066","0","0.6","false","2.541147","4110"
"1600","1649","1.066","0","0.6","false","2.541147","5310"
"1650","1699","1.066","0","0.6","false","2.5399059999999998","5200"
"1700","1800","1.066","0","0.6","false","2.540496","7755"
"1801","1810","1.066","0","0.6","false","2.549951","8762"
"1811","1820","1.066","0","0.6","false","2.549951","10402"
"1821","1830","1.066","0","0.6","false","2.5449699999999997","12012"
"1831","1840","1.066","0","0.6","false","2.5449699999999997","13659"
"1841","1850","1.066","0","0.6","false","2.5449699999999997","15289"
"1851","1860","1.066","0","0.6","false","2.5449699999999997","18325"
"1861","1870","1.066","0","0.6","false","2.554424","21361"
"1871","1880","1.066","0","0.6","false","2.544445","24297"
"1881","1890","1.066","0","0.6","false","2.544445","27231"
"1891","1900","1.066","0","0.6","false","2.5539","30000"
"1901","2015","1.003","0","0.13","false","3.46147","65000"
