"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.004999","1500","1.3107708782876897","1.31732342190825"
"1","43","1.066","2000","0.6","false","1.004999","2000","1.0241758111535129","1.0292956660334693"
"44","200","1.066","4500","0.6","false","1.004999","4500","1.038077349881181","1.043266698553237"
"201","410","1.066","3000","0.6","false","1.004999","3000","0.9930884353719723","0.9980528844603967"
"411","430","1.066","1250","0.6","false","1.004999","1250","0.9674098733442833","0.9722459553011313"
"431","500","1.066","1300","0.6","false","1.004999","1300","0.9960391943863683","1.0010183943191058"
"501","750","1.066","1300","0.6","false","1.004999","1300","0.9951113956315052","1.000085957498267"
"751","950","1.066","1400","0.6","false","1.004999","1400","0.9934280181434572","0.9983941648061563"
"951","1066","1.066","1500","0.6","false","1.004999","1500","0.9920935203617123","0.9970529958700004"
"1067","1086","1.066","2000","0.6","false","1.004999","2000","1.03432652500412","1.0394971233026156"
"1087","1190","1.066","3700","0.6","false","1.004999","3700","1.0277676463642185","1.032905456828393"
"1191","1220","1.066","4800","0.6","false","1.004999","4800","1.0150643973407312","1.0201387042630374"
"1221","1250","1.066","5000","0.6","false","1.004999","5000","0.9924776977470661","0.9974390937581036"
"1251","1279","1.066","5300","0.6","false","1.004999","5300","0.9956761594177514","1.0006535445386808"
"1280","1290","1.066","5700","0.6","false","1.004999","5700","0.9993075414370228","1.0043030798366666"
"1291","1315","1.066","5600","0.6","false","1.004999","5600","0.991035127772513","0.9959893123762478"
"1316","1325","1.066","5000","0.6","false","1.004999","5000","0.9819077716658707","0.9868163286164284"
"1326","1348","1.066","5700","0.6","false","1.004999","5700","0.9993262646696671","1.0043218966667509"
"1349","1351","1.066","3000","0.6","true","1.004999","3000","0.8250240505493226","0.8291483457780187"
"1352","1377","1.066","3000","0.6","false","1.004999","3000","0.9912560624205214","0.9962113514765616"
"1378","1400","1.066","2500","0.6","false","1.004999","2500","0.984230703991989","0.989150873281245"
"1401","1430","1.066","2400","0.6","false","1.004999","2400","0.9901151943645201","0.9950647802211483"
"1431","1450","1.066","2300","0.6","false","1.004999","2300","0.9874424763336102","0.9923787012728018"
"1451","1490","1.066","2600","0.6","false","1.004999","2600","0.9980962754480952","1.0030857587290603"
"1491","1522","1.066","2800","0.6","false","1.004999","2800","0.9943101448983526","0.9992807013126994"
"1523","1541","1.066","3400","0.6","false","1.004999","3400","1.0120209925394636","1.0170800854811684"
"1542","1560","1.066","3800","0.6","false","1.004999","3800","0.9999429688215539","1.0049416837226928"
"1561","1600","1.066","5000","0.6","false","1.004999","5000","1.009709628571993","1.0147571670052244"
"1601","1650","1.066","6300","0.6","false","1.004999","6300","1.004014436890225","1.0090335050602393"
"1651","1700","1.066","6200","0.6","false","1.004999","6200","0.9911830139450502","0.9961379378317614"
"1701","1801","1.066","11300","0.6","false","1.004999","11300","1.0268909091389768","1.0320243367937625"
"1802","1811","1.066","12500","0.6","false","1.004999","12500","1.0054498471556443","1.0104760909415753"
"1812","1821","1.066","13400","0.6","false","1.004999","13400","1.0003145515216831","1.00531512396474"
"1822","1831","1.066","15800","0.6","false","1.004999","15800","1.0195448659547377","1.0246415707396455"
"1832","1841","1.066","20200","0.6","false","1.004999","20200","1.0514830112710931","1.0567393748444374"
"1842","1851","1.066","27400","0.6","false","1.004999","27400","1.0851758408385106","1.0906006348668622"
"1852","1861","1.066","29000","0.6","false","1.004999","29000","0.996761216655789","1.0017440259778512"
"1862","1871","1.066","31500","0.6","false","1.004999","31500","1.002244427047731","1.0072546469385426"
"1872","1881","1.066","35000","0.6","false","1.004999","35000","1.0057968248747617","1.0108248032023106"
"1882","1891","1.066","37800","0.6","false","1.004999","37800","1.0016576099771402","1.0066648963694158"
"1892","1901","1.066","38200","0.6","false","1.004999","38200","0.9921618006044497","0.9971216174456713"
"1902","1911","1.003","42100","0.13","false","1.004999","42100","1.0282729972345481","1.0334133339477236"
"1912","1921","1.003","44000","0.13","false","1.004999","44000","0.9830395449552277","0.9879537596404588"
"1922","1931","1.003","45000","0.13","false","1.004999","45000","0.9834824040236987","0.9883988325614131"
"1932","1941","1.003","50200","0.13","false","1.004999","50200","1.0509581568675208","1.0562118966937015"
"1942","1951","1.003","52800","0.13","false","1.004999","52800","1.0555924825201355","1.0608693893402537"
"1952","1961","1.003","55900","0.13","false","1.004999","55900","1.0568761665553155","1.0621594905119254"
"1962","1971","1.003","56300","0.13","false","1.004999","56300","0.9966342540056878","1.0016164286414622"
"1972","1981","1.003","57400","0.13","false","1.004999","57400","1.0012499865045816","1.0062552351871181"
"1982","1991","1.003","59300","0.13","false","1.004999","59300","1.0028461219727536","1.0078593497364954"
"1992","2001","1.003","63200","0.13","false","1.004999","63200","1.0299116607225707","1.0350601891145228"
"2002","2011","1.003","65600","0.13","false","1.004999","65600","1.0101619005208822","1.015211699861586"
"2012","2015","1.003","66270","0.13","false","1.004999","66270","0.9978750798171356","1.0028634573411415"
