"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","2.5","1500","1.1875054574930681","2.9687636437326703"
"1","43","1.066","2000","0.6","false","2.5","2000","1.0443638576418448","2.610909644104612"
"44","200","1.066","4500","0.6","false","1.875","4500","3.853944123021102","7.226145230664566"
"201","410","1.066","3000","0.6","false","1.875","3000","0.969802758587461","1.8183801723514894"
"411","430","1.066","1250","0.6","false","1.875","1250","0.869388208102784","1.6301028901927201"
"431","500","1.066","1300","0.6","false","1.875","1300","0.8745048947347579","1.6396966776276711"
"501","750","1.066","1300","0.6","false","1.40625","1300","3.5368151808329946","4.973646348046398"
"751","950","1.066","1400","0.6","false","1.40625","1400","1.023697312990269","1.4395743463925657"
"951","1066","1.066","1500","0.6","false","1.40625","1500","0.9887337023098111","1.3904067688731718"
"1067","1086","1.066","2000","0.6","false","1.40625","2000","1.0157448165553329","1.4283911482809368"
"1087","1190","1.066","3700","0.6","false","1.40625","3700","1.0054599359481031","1.41392803492702"
"1191","1220","1.066","4800","0.6","false","1.40625","4800","0.9843792807667745","1.3842833635782767"
"1221","1250","1.066","5000","0.6","false","1.40625","5000","0.9644201144608527","1.3562157859605741"
"1251","1279","1.066","5300","0.6","false","1.40625","5300","0.9620990131581463","1.3529517372536433"
"1280","1290","1.066","5700","0.6","false","1.40625","5700","0.964399819539041","1.3561872462267763"
"1291","1315","1.066","5600","0.6","false","1.40625","5600","0.9573832298673035","1.3463201670008955"
"1316","1325","1.066","5000","0.6","false","1.40625","5000","0.9443952515762462","1.3280558225290962"
"1326","1348","1.066","5700","0.6","false","1.40625","5700","0.9612809209761868","1.3518012951227627"
"1349","1351","1.066","3000","0.6","true","1.40625","3000","0.8038879317936232","1.1304674040847826"
"1352","1377","1.066","3000","0.6","false","1.40625","3000","0.9520450887009063","1.3388134059856496"
"1378","1400","1.066","2500","0.6","false","1.40625","2500","0.9442428866402423","1.3278415593378408"
"1401","1430","1.066","2400","0.6","false","1.40625","2400","0.9455428770511853","1.3296696708532294"
"1431","1450","1.066","2300","0.6","false","1.40625","2300","0.9433764285658086","1.3266231026706683"
"1451","1490","1.066","2600","0.6","false","1.40625","2600","0.9463114654002034","1.330750498219036"
"1491","1522","1.066","2800","0.6","false","1.40625","2800","0.9428223408351984","1.3258439167994978"
"1523","1541","1.066","3400","0.6","false","1.40625","3400","0.9611496471092696","1.3516166912474104"
"1542","1560","1.066","3800","0.6","false","1.40625","3800","0.9442660853983647","1.3278741825914504"
"1561","1600","1.066","5000","0.6","false","1.40625","5000","0.9519839375622589","1.3387274121969266"
"1601","1650","1.066","6300","0.6","false","1.40625","6300","0.9439473194631476","1.3274259179950514"
"1651","1700","1.066","6200","0.6","false","1.40625","6200","0.9292497650060533","1.3067574820397625"
"1701","1801","1.066","11300","0.6","false","1.40625","11300","0.9576667106499409","1.3467188118514795"
"1802","1811","1.066","12500","0.6","false","1.40625","12500","0.9337679079437271","1.3131111205458663"
"1812","1821","1.066","13400","0.6","false","1.40625","13400","0.9265238409595803","1.3029241513494099"
"1822","1831","1.066","15800","0.6","false","1.40625","15800","0.9486870889381962","1.3340912188193383"
"1832","1841","1.066","20200","0.6","false","1.40625","20200","0.9762806335882906","1.3728946409835336"
"1842","1851","1.066","27400","0.6","false","1.40625","27400","0.9993020505365635","1.4052685085670424"
"1852","1861","1.066","29000","0.6","false","1.40625","29000","0.9253847788766139","1.3013223452952383"
"1862","1871","1.066","31500","0.6","false","1.40625","31500","0.9275273210908634","1.3043352952840268"
"1872","1881","1.066","35000","0.6","false","1.40625","35000","0.930394960160602","1.3083679127258465"
"1882","1891","1.066","37800","0.6","false","1.40625","37800","0.9254851259417274","1.3014634583555542"
"1892","1901","1.066","38200","0.6","false","1.40625","38200","0.9174557793665958","1.2901721897342755"
"1902","1911","1.003","42100","0.13","false","1.40625","42100","0.9439977261433908","1.3274968023891434"
"1912","1921","1.003","44000","0.13","false","1.40625","44000","0.9083434350915758","1.2773579555975285"
"1922","1931","1.003","45000","0.13","false","1.40625","45000","0.9086686642332816","1.2778153090780522"
"1932","1941","1.003","50200","0.13","false","1.40625","50200","0.9609903477204712","1.3513926764819126"
"1942","1951","1.003","52800","0.13","false","1.40625","52800","0.9428008268845047","1.3258136628063348"
"1952","1961","1.003","55900","0.13","false","1.40625","55900","0.9346470641996403","1.3143474340307442"
"1962","1971","1.003","56300","0.13","false","1.40625","56300","0.9191582994434084","1.292566358592293"
"1972","1981","1.003","57400","0.13","false","1.40625","57400","0.9214808455087523","1.2958324389966829"
"1982","1991","1.003","59300","0.13","false","1.40625","59300","0.9219106519148491","1.2964368542552565"
"1992","2001","1.003","63200","0.13","false","1.40625","63200","0.9399437754789751","1.3217959342673087"
"2002","2011","1.003","65600","0.13","false","1.40625","65600","0.9251751457526796","1.3010275487147056"
"2012","2015","1.003","66270","0.13","false","1.40625","66270","0.9191194234617286","1.292511689243056"
