Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1400000,0.6,false,3.125,1400000,2.201739491445376,6.880435910766799
1,43,1.066,2000000,0.6,false,3.125,2000000,1.0713782341689317,3.3480569817779116
44,200,1.066,4400000,0.6,false,3.125,4400000,1.0198541747725656,3.1870442961642675
201,410,1.066,3000000,0.6,false,3.125,3000000,0.9908593200499443,3.0964353751560756
411,430,1.066,1200000,0.6,false,3.125,1200000,1.012857142857143,3.1651785714285716
431,500,1.066,1200000,0.6,false,3.125,1200000,1.1759183673469396,3.674744897959186
501,750,1.066,1200000,0.6,false,3.125,1200000,1.197238095238093,3.7413690476190404
751,950,1.066,1400000,0.6,false,3.125,1400000,1.0567361111111102,3.302300347222219
951,1066,1.066,1400000,0.6,false,3.125,1400000,1.3398227969348673,4.18694624042146
1067,1086,1.066,2000000,0.6,false,3.125,2000000,1.5228174603174602,4.758804563492063
1087,1190,1.066,3600000,0.6,false,3.125,3600000,1.0460457689876321,3.2688930280863504
1191,1220,1.066,4800000,0.6,false,3.125,4800000,1.0513554187047258,3.285485683452268
1221,1250,1.066,5000000,0.6,false,3.125,5000000,0.9904367556666407,3.095114861458252
1251,1279,1.066,5200000,0.6,false,3.125,5200000,0.9610648698639184,3.003327718324745
1280,1290,1.066,5600000,0.6,false,3.125,5600000,1.0081308219239253,3.1504088185122665
1291,1315,1.066,5600000,0.6,false,3.125,5600000,0.9780056695415983,3.056267717317495
1316,1325,1.066,5000000,0.6,false,3.125,5000000,0.9280556212007823,2.900173816252445
1326,1348,1.066,5600000,0.6,false,3.125,5600000,0.9588389704313194,2.996371782597873
1349,1351,1.066,3000000,0.6,true,3.125,3000000,0.8690476190476191,2.7157738095238098
1352,1377,1.066,3000000,0.6,false,3.125,3000000,1.022340075083288,3.194812734635275
1378,1400,1.066,2400000,0.6,false,3.125,2400000,0.953281501107588,2.9790046909612125
1401,1430,1.066,2400000,0.6,false,2.734375,2400000,6.421805971805972,17.559625704156954
1431,1450,1.066,2200000,0.6,false,2.734375,2200000,1.1384722222222223,3.1130099826388893
1451,1490,1.066,2600000,0.6,false,2.734375,2600000,1.1901343795093793,3.254273693970959
1491,1522,1.066,2800000,0.6,false,2.734375,2800000,1.16961926961927,3.1981776903651915
1523,1541,1.066,3400000,0.6,false,2.734375,3400000,1.190503648398385,3.2552834135893343
1542,1560,1.066,3800000,0.6,false,2.734375,3800000,1.0896180401985356,2.9794243286678705
1561,1600,1.066,5000000,0.6,false,2.734375,5000000,1.2068419406549533,3.299958431478388
1601,1650,1.066,6200000,0.6,false,2.734375,6200000,1.131615381091505,3.094260807672084
1651,1700,1.066,6200000,0.6,false,2.734375,6200000,1.119552202363409,3.0612755533374467
1701,1801,1.066,11200000,0.6,false,2.734375,11200000,1.1282305656961176,3.0850054530753215
1802,1811,1.066,12400000,0.6,false,2.734375,12400000,1.1313733344948633,3.0935989615093917
1812,1821,1.066,13400000,0.6,false,2.734375,13400000,1.1003109607245853,3.008662783231288
1822,1831,1.066,15800000,0.6,false,2.734375,15800000,1.178303289702303,3.2219230577797346
1832,1841,1.066,20200000,0.6,false,2.734375,20200000,1.1721940493546459,3.2052181037041096
1842,1851,1.066,27400000,0.6,false,2.734375,27400000,1.2266426631846208,3.3541010321454476
1852,1861,1.066,29000000,0.6,false,2.734375,29000000,1.0827387381618485,2.9606137371613044
1862,1871,1.066,31400000,0.6,false,2.734375,31400000,1.1039669811320618,3.0186597140329816
1872,1881,1.066,35000000,0.6,false,2.734375,35000000,1.1002112441240475,3.008390120651692
1882,1891,1.066,37800000,0.6,false,2.734375,37800000,1.091639474875025,2.984951689111397
1892,1901,1.066,38200000,0.6,false,2.734375,38200000,1.0911995087468356,2.9837486567296287
1902,1911,1.003,42000000,0.13,false,2.734375,42000000,1.1052033103137442,3.0220403016391444
1912,1921,1.003,44000000,0.13,false,2.734375,44000000,1.0792112952898287,2.9509683855581255
1922,1931,1.003,45000000,0.13,false,2.734375,45000000,1.0857782972368502,2.968925031507012
1932,1941,1.003,50200000,0.13,false,2.734375,50200000,1.1600437832313888,3.1719947197733287
1942,1951,1.003,52800000,0.13,false,2.734375,52800000,1.1791935943609844,3.2243574845808167
1952,1961,1.003,55800000,0.13,false,2.734375,55800000,1.1884788601744718,3.2497468832895713
1962,1971,1.003,56200000,0.13,false,2.734375,56200000,1.102606093569249,3.0149385371034154
1972,1981,1.003,57400000,0.13,false,2.734375,57400000,1.1359264354401408,3.106048846906635
1982,1991,1.003,59200000,0.13,false,2.734375,59200000,1.1004770194964288,3.0091168501855474
1992,2001,1.003,63200000,0.13,false,2.734375,63200000,1.10575155299956,3.023539402733172
2002,2011,1.003,65600000,0.13,false,2.734375,65600000,1.1213913052378546,3.0663043502597587
2012,2015,1.003,66200000,0.13,false,2.734375,66200000,1.0916060843836215,2.984860386986465
