"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.99951172","1500","89.8378723860942","179.63187873585974"
"1","43","1.066","2000","0.6","false","1.99951172","2000","4.758992752956859","9.515661784932304"
"44","200","1.066","4500","0.6","false","1.99951172","4500","3.8767251095564244","7.751557291776355"
"201","410","1.066","3000","0.6","false","1.99951172","3000","2.95739502786583","5.913346018887454"
"411","430","1.066","1250","0.6","false","1.99951172","1250","2.735517222422569","5.469698746495774"
"431","500","1.066","1300","0.6","false","1.99951172","1300","2.771278274403493","5.5412033890511605"
"501","750","1.066","1300","0.6","false","1.99951172","1300","2.6706110764297843","5.33991814688317"
"751","950","1.066","1400","0.6","false","1.99951172","1400","2.6158344143902132","5.230391569152569"
"951","1066","1.066","1500","0.6","false","1.99951172","1500","2.63327860228493","5.2652714272939365"
"1067","1086","1.066","2000","0.6","false","1.99951172","2000","2.7901349060435154","5.578907445015108"
"1087","1190","1.066","3700","0.6","false","1.99951172","3700","2.7497289346508182","5.498115231657425"
"1191","1220","1.066","4800","0.6","false","1.99951172","4800","2.708725606901522","5.4161285972637065"
"1221","1250","1.066","5000","0.6","false","1.99951172","5000","2.627054610780115","5.252826483334879"
"1251","1279","1.066","5300","0.6","false","1.99951172","5300","2.6224913847922866","5.243702259491207"
"1280","1290","1.066","5700","0.6","false","1.99951172","5700","2.6458716107230917","5.2904512952561"
"1291","1315","1.066","5600","0.6","false","1.99951172","5600","2.5959242344041082","5.1905809309230415"
"1316","1325","1.066","5000","0.6","false","1.99951172","5000","2.5526195945520427","5.103992796008458"
"1326","1348","1.066","5700","0.6","false","1.99951172","5700","2.6116159481377683","5.2219566964403805"
"1349","1351","1.066","3000","0.6","true","1.99951172","3000","2.1662482820215536","4.331438828331962"
"1352","1377","1.066","3000","0.6","false","1.99951172","3000","2.5654576825641873","5.129662703451133"
"1378","1400","1.066","2500","0.6","false","1.99951172","2500","2.53179069543215","5.062345168103535"
"1401","1430","1.066","2400","0.6","false","1.99951172","2400","2.5462518442576814","5.091260404664848"
"1431","1450","1.066","2300","0.6","false","1.99951172","2300","2.538737471590351","5.076235328448075"
"1451","1490","1.066","2600","0.6","false","1.99951172","2600","2.588544038459569","5.175824142636039"
"1491","1522","1.066","2800","0.6","false","1.99951172","2800","2.5963975164766113","5.191527263973878"
"1523","1541","1.066","3400","0.6","false","1.99951172","3400","2.656806925237328","5.312316584789202"
"1542","1560","1.066","3800","0.6","false","1.99951172","3800","2.632012414133025","5.262739669244477"
"1561","1600","1.066","5000","0.6","false","1.99951172","5000","2.6780476005225275","5.354787563962672"
"1601","1650","1.066","6300","0.6","false","1.99951172","6300","2.668249337712245","5.335195822637872"
"1651","1700","1.066","6200","0.6","false","1.99951172","6200","2.62378850946817","5.246295875482938"
"1701","1801","1.066","11300","0.6","false","1.99951172","11300","2.738986940192371","5.476636487841586"
"1802","1811","1.066","12500","0.6","false","1.99951172","12500","2.6718967881835507","5.342488942603367"
"1812","1821","1.066","13400","0.6","false","1.99951172","13400","2.6660534558784703","5.330805131175505"
"1822","1831","1.066","15800","0.6","false","1.99951172","15800","2.735282817946161","5.469230051997975"
"1832","1841","1.066","20200","0.6","false","1.99951172","20200","2.8249629149372746","5.6485464569824435"
"1842","1851","1.066","27400","0.6","false","1.99951172","27400","2.9340340194668553","5.8666354088026855"
"1852","1861","1.066","29000","0.6","false","1.99951172","29000","2.6982902748138415","5.395263028452297"
"1862","1871","1.066","31500","0.6","false","1.99951172","31500","2.711143106493917","5.420962416031796"
"1872","1881","1.066","35000","0.6","false","1.99951172","35000","2.7188809603852144","5.436434345575092"
"1882","1891","1.066","37800","0.6","false","1.99951172","37800","2.7017815596693167","5.402243893438678"
"1892","1901","1.066","38200","0.6","false","1.99951172","38200","2.6692287405066204","5.337154150003826"
"1902","1911","1.003","42100","0.13","false","1.99951172","42100","2.8346807717944125","5.667977425661573"
"1912","1921","1.003","44000","0.13","false","1.99951172","44000","2.749517242482049","5.497691950684939"
"1922","1931","1.003","45000","0.13","false","1.99951172","45000","2.752302331532692","5.503260768882944"
"1932","1941","1.003","50200","0.13","false","1.99951172","50200","3.03781789911538","6.07415249250698"
"1942","1951","1.003","52800","0.13","false","1.99951172","52800","3.218177947707318","6.4347845234863295"
"1952","1961","1.003","55900","0.13","false","1.99951172","55900","3.3219327361900675","6.642243439063709"
"1962","1971","1.003","56300","0.13","false","1.99951172","56300","3.0947806412191916","6.188050162946889"
"1972","1981","1.003","57400","0.13","false","1.99951172","57400","3.160703665703708","6.319864023021527"
"1982","1991","1.003","59300","0.13","false","1.99951172","59300","3.2206466287228457","6.439720680109819"
"1992","2001","1.003","63200","0.13","false","1.99951172","63200","3.3410857766035256","6.680540167844051"
"2002","2011","1.003","65600","0.13","false","1.99951172","65600","3.357015320725317","6.712391478009831"
"2012","2015","1.003","66270","0.13","false","1.99951172","66270","3.3201807235363416","6.638740269228995"
