"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","2.0025","1500","2.2300690041011135","4.46571318071248"
"1","43","1.066","2000","0.6","false","2.0025","2000","1.1617226395820346","2.3263495857630243"
"44","200","1.066","4500","0.6","false","1.00374999","4500","2.0498018936786018","2.0574886302818776"
"201","410","1.066","3000","0.6","false","1.00374999","3000","0.872866143834065","0.8761393831447813"
"411","430","1.066","1250","0.6","false","1.00374999","1250","0.7799911271109102","0.7829160860376648"
"431","500","1.066","1300","0.6","false","1.00374999","1300","0.7930580659790765","0.7960320257959174"
"501","750","1.066","1300","0.6","false","0.75406248","1300","3.305314487719216","2.492413639789482"
"751","950","1.066","1400","0.6","false","0.75406248","1400","0.9960979058920497","0.7511200572397656"
"951","1066","1.066","1500","0.6","false","0.75406248","1500","0.9917779657082053","0.7478625524312842"
"1067","1086","1.066","2000","0.6","false","0.75406248","2000","1.046227953360626","0.788921245156438"
"1087","1190","1.066","3700","0.6","false","0.75406248","3700","1.0388547903891987","0.7833614196007593"
"1191","1220","1.066","4800","0.6","false","0.75406248","4800","1.0285761545654495","0.7756106859804861"
"1221","1250","1.066","5000","0.6","false","0.75406248","5000","1.001098951059396","0.7548911577612467"
"1251","1279","1.066","5300","0.6","false","0.75406248","5300","0.9960691658386882","0.7510983854438525"
"1280","1290","1.066","5700","0.6","false","0.75406248","5700","1.004059063387518","0.757123267404469"
"1291","1315","1.066","5600","0.6","false","0.75406248","5600","0.9896124215753921","0.7462295968519457"
"1316","1325","1.066","5000","0.6","false","0.75406248","5000","0.9762841703175216","0.7361792626543727"
"1326","1348","1.066","5700","0.6","false","0.75406248","5700","1.0021622294875543","0.7556929361297143"
"1349","1351","1.066","3000","0.6","true","0.75406248","3000","0.8422489297859085","0.635108316771708"
"1352","1377","1.066","3000","0.6","false","0.75406248","3000","0.987192857847059","0.7444050946264408"
"1378","1400","1.066","2500","0.6","false","0.75406248","2500","0.9788170752240026","0.738089231209758"
"1401","1430","1.066","2400","0.6","false","0.75406248","2400","0.9842157079474922","0.7421601375898417"
"1431","1450","1.066","2300","0.6","false","0.75406248","2300","0.9851744083559607","0.7428830575974285"
"1451","1490","1.066","2600","0.6","false","0.75406248","2600","0.993491924624359","0.7491549845422172"
"1491","1522","1.066","2800","0.6","false","0.75406248","2800","0.9867686956692624","0.7440852498427293"
"1523","1541","1.066","3400","0.6","false","0.75406248","3400","1.0112207961101","0.7625236613423564"
"1542","1560","1.066","3800","0.6","false","0.75406248","3800","1.000053719311443","0.7541029877172105"
"1561","1600","1.066","5000","0.6","false","0.75406248","5000","1.0163735906714502","0.7664091903882185"
"1601","1650","1.066","6300","0.6","false","0.75406248","6300","1.004489701013385","0.7574479950806117"
"1651","1700","1.066","6200","0.6","false","0.75406248","6200","0.9852920311600691","0.742971752540799"
"1701","1801","1.066","11300","0.6","false","0.75406248","11300","1.0309783686597933","0.777422105497958"
"1802","1811","1.066","12500","0.6","false","0.75406248","12500","1.0089488793446921","0.7608104941518793"
"1812","1821","1.066","13400","0.6","false","0.75406248","13400","1.0002474230369267","0.7542490524288341"
"1822","1831","1.066","15800","0.6","false","0.75406248","15800","1.0274974591789914","0.774797282262209"
"1832","1841","1.066","20200","0.6","false","0.75406248","20200","1.0726676334206144","0.8088584158728794"
"1842","1851","1.066","27400","0.6","false","0.75406248","27400","1.1039218065583518","0.832426015179471"
"1852","1861","1.066","29000","0.6","false","0.75406248","29000","1.0180131900493428","0.7676455507613187"
"1862","1871","1.066","31500","0.6","false","0.75406248","31500","1.0213056848035054","0.7701282975210295"
"1872","1881","1.066","35000","0.6","false","0.75406248","35000","1.0244215744815652","0.7724778730190738"
"1882","1891","1.066","37800","0.6","false","0.75406248","37800","1.0189369177564118","0.768342099166956"
"1892","1901","1.066","38200","0.6","false","0.75406248","38200","1.0036730972603167","0.7568322248293956"
"1902","1911","1.003","42100","0.13","false","0.75406248","42100","1.0828366082939966","0.8165264582849596"
"1912","1921","1.003","44000","0.13","false","0.75406248","44000","1.057764556493634","0.7976205647256898"
"1922","1931","1.003","45000","0.13","false","0.75406248","45000","1.0539489520368803","0.794743360566331"
"1932","1941","1.003","50200","0.13","false","0.75406248","50200","1.173877202016481","0.8851767541680086"
"1942","1951","1.003","52800","0.13","false","0.75406248","52800","1.284792690045871","0.9688139621418608"
"1952","1961","1.003","55900","0.13","false","0.75406248","55900","1.3544680067419486","1.0213535042444903"
"1962","1971","1.003","56300","0.13","false","0.75406248","56300","1.266834413366045","0.955272299492145"
"1972","1981","1.003","57400","0.13","false","0.75406248","57400","1.2874594584362635","0.9708248721279058"
"1982","1991","1.003","59300","0.13","false","0.75406248","59300","1.320914375032002","0.9960519695042815"
"1992","2001","1.003","63200","0.13","false","0.75406248","63200","1.3812223528990355","1.0415279528584818"
"2002","2011","1.003","65600","0.13","false","0.75406248","65600","1.4160664742781797","1.0678025974390604"
"2012","2015","1.003","66270","0.13","false","0.75406248","66270","1.4079346226957685","1.0616706732678354"
