"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","15","0.6","false","5.0","15","1.174912097706215","5.874560488531076"
"1","43","1.066","20","0.6","false","5.0","20","1.1995658320447729","5.997829160223864"
"44","200","1.066","45","0.6","false","5.0","45","1.1649494389744341","5.82474719487217"
"201","410","1.066","30","0.6","false","5.0","30","1.119637658604067","5.5981882930203355"
"411","430","1.066","12","0.6","false","6.25","12","2.661929149282089","16.637057183013056"
"431","500","1.066","13","0.6","false","6.25","13","0.9181512868305219","5.738445542690762"
"501","750","1.066","13","0.6","false","6.25","13","0.9238544393514969","5.774090245946856"
"751","950","1.066","14","0.6","false","6.25","14","0.9152787932311928","5.720492457694955"
"951","1066","1.066","15","0.6","false","4.6875","15","4.207350518307533","19.72195555456656"
"1067","1086","1.066","20","0.6","false","4.6875","20","1.2868646661216316","6.032178122445148"
"1087","1190","1.066","37","0.6","false","4.6875","37","1.2367428542786607","5.797232129431222"
"1191","1220","1.066","48","0.6","false","4.6875","48","1.1883470578037405","5.570376833455033"
"1221","1250","1.066","50","0.6","false","4.6875","50","1.1830616676143886","5.545601566942446"
"1251","1279","1.066","53","0.6","false","4.6875","53","1.1990164989114283","5.62038983864732"
"1280","1290","1.066","57","0.6","false","4.6875","57","1.1690903515362274","5.480111022826066"
"1291","1315","1.066","56","0.6","false","4.6875","56","1.1978909870768046","5.615114001922522"
"1316","1325","1.066","50","0.6","false","4.6875","50","1.1591967906126557","5.433734955996823"
"1326","1348","1.066","57","0.6","false","4.6875","57","1.1892434177699294","5.5745785207965435"
"1349","1351","1.066","30","0.6","true","4.6875","30","1.0092592592592593","4.730902777777778"
"1352","1377","1.066","30","0.6","false","4.6875","30","1.2024772607548526","5.636612159788371"
"1378","1400","1.066","25","0.6","false","4.6875","25","1.205414579009246","5.650380839105841"
"1401","1430","1.066","24","0.6","false","4.6875","24","1.2219054961281373","5.727682013100644"
"1431","1450","1.066","23","0.6","false","6.015625","23","3.0705792199638475","18.47145312009502"
"1451","1490","1.066","26","0.6","false","6.015625","26","0.9882064930738095","5.944679684897135"
"1491","1522","1.066","28","0.6","false","6.015625","28","0.9307302248051874","5.5989240085937055"
"1523","1541","1.066","34","0.6","false","6.015625","34","0.9538170503890727","5.737805693746766"
"1542","1560","1.066","38","0.6","false","6.015625","38","0.9869691953009335","5.937236565482178"
"1561","1600","1.066","50","0.6","false","6.015625","50","0.927908510554353","5.5819496338035295"
"1601","1650","1.066","63","0.6","false","6.015625","63","0.9218600808904146","5.5455645491064"
"1651","1700","1.066","62","0.6","false","6.015625","62","0.9354019316633335","5.627027245162241"
"1701","1801","1.066","113","0.6","false","6.015625","113","0.9444626248904915","5.681532977856863"
"1802","1811","1.066","125","0.6","false","6.015625","125","0.934749665006739","5.623103453556164"
"1812","1821","1.066","134","0.6","false","6.015625","134","0.9243397074361157","5.560481052545383"
"1822","1831","1.066","158","0.6","false","6.015625","158","0.9790298763958786","5.889476600193957"
"1832","1841","1.066","202","0.6","false","6.015625","202","0.9673687813368094","5.8193278252292435"
"1842","1851","1.066","274","0.6","false","6.015625","274","0.9908371681917663","5.960504839903594"
"1852","1861","1.066","290","0.6","false","6.015625","290","0.9219951098413723","5.546376832639505"
"1862","1871","1.066","315","0.6","false","6.015625","315","0.9225089621017577","5.549467975143386"
"1872","1881","1.066","350","0.6","false","6.015625","350","0.9378421068898032","5.641706424258972"
"1882","1891","1.066","378","0.6","false","6.015625","378","0.9202883751853415","5.536109756974319"
"1892","1901","1.066","382","0.6","false","6.015625","382","0.9156955855171685","5.508481256626716"
"1902","1911","1.003","421","0.13","false","6.015625","421","0.9333397617113501","5.614622004044841"
"1912","1921","1.003","440","0.13","false","6.015625","440","0.9106331707132629","5.478027667571972"
"1922","1931","1.003","450","0.13","false","6.015625","450","0.9130373324054768","5.492490202751696"
"1932","1941","1.003","502","0.13","false","6.015625","502","0.9495920993113709","5.712389972419966"
"1942","1951","1.003","528","0.13","false","6.015625","528","0.9584609340307126","5.765741556278506"
"1952","1961","1.003","559","0.13","false","6.015625","559","0.9454235112061863","5.687313309599714"
"1962","1971","1.003","563","0.13","false","6.015625","563","0.9225194684383748","5.5495311773245986"
"1972","1981","1.003","574","0.13","false","6.015625","574","0.9196497838011833","5.532268230678993"
"1982","1991","1.003","593","0.13","false","6.015625","593","0.9331436932792224","5.613442529882822"
"1992","2001","1.003","632","0.13","false","6.015625","632","0.9296838702357089","5.592629531886686"
"2002","2011","1.003","656","0.13","false","6.015625","656","0.9288127190461811","5.587389013012183"
"2012","2015","1.003","662","0.13","false","6.015625","662","0.9258831814658621","5.569766013505577"
