Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1400000,0.6,false,5.0,1400000,2.0315869859987523,10.157934929993761
1,43,1.066,2000000,0.6,false,5.0,2000000,1.2400416121346354,6.200208060673177
44,200,1.066,4400000,0.6,false,5.0,4400000,1.2224345223932611,6.112172611966305
201,410,1.066,3000000,0.6,false,5.0,3000000,1.1498229536569902,5.749114768284951
411,430,1.066,1200000,0.6,false,5.0,1200000,1.0349999999999997,5.174999999999999
431,500,1.066,1200000,0.6,false,7.1875,1200000,3.336762523191089,23.98298063543595
501,750,1.066,1200000,0.6,false,7.1875,1200000,0.9095714285714284,6.537544642857141
751,950,1.066,1400000,0.6,false,7.1875,1400000,0.8574962121212107,6.163254024621202
951,1066,1.066,1400000,0.6,false,7.1875,1400000,0.8218042493904557,5.9067180424939005
1067,1086,1.066,2000000,0.6,false,7.1875,2000000,0.8748348873348876,6.287875752719504
1087,1190,1.066,3600000,0.6,false,3.59375,3600000,2.4743912847604324,8.892343679607803
1191,1220,1.066,4800000,0.6,false,5.86914,4800000,4.595969754264488,26.974389923543878
1221,1250,1.066,5000000,0.6,false,5.86914,5000000,0.961749856146408,5.644644550703129
1251,1279,1.066,5200000,0.6,false,5.86914,5200000,0.9706997404417659,5.697172674616386
1280,1290,1.066,5600000,0.6,false,5.86914,5600000,0.9653061158344808,5.665516736688784
1291,1315,1.066,5600000,0.6,false,5.86914,5600000,0.9801615706597883,5.75270548082219
1316,1325,1.066,5000000,0.6,false,5.86914,5000000,0.926410344888606,5.437232011599512
1326,1348,1.066,5600000,0.6,false,5.86914,5600000,0.9888806142082728,5.803878768074342
1349,1351,1.066,3000000,0.6,true,5.86914,3000000,0.6529629921881165,3.832331215970962
1352,1377,1.066,3000000,0.6,false,5.86914,3000000,0.994517407554738,5.836961897375815
1378,1400,1.066,2400000,0.6,false,5.86914,2400000,1.0224681115985461,6.0010084925074905
1401,1430,1.066,2400000,0.6,false,5.86914,2400000,1.0703774003774003,6.282194815651015
1431,1450,1.066,2200000,0.6,false,5.86914,2200000,0.9715598290598291,5.702220655128205
1451,1490,1.066,2600000,0.6,false,5.86914,2600000,0.9929816017316021,5.8279480379870146
1491,1522,1.066,2800000,0.6,false,5.86914,2800000,0.9470042263700353,5.558100385157429
1523,1541,1.066,3400000,0.6,false,5.86914,3400000,0.9934941520467833,5.830956267543858
1542,1560,1.066,3800000,0.6,false,5.86914,3800000,0.9692887206196533,5.688891201737632
1561,1600,1.066,5000000,0.6,false,5.86914,5000000,0.9673273140804998,5.677379432162424
1601,1650,1.066,6200000,0.6,false,5.86914,6200000,0.9432063896402133,5.535810349692961
1651,1700,1.066,6200000,0.6,false,5.86914,6200000,0.9492319900821419,5.571175442270702
1701,1801,1.066,11200000,0.6,false,5.86914,11200000,1.0036475821888549,5.890548170527896
1802,1811,1.066,12400000,0.6,false,5.86914,12400000,0.9551194014819264,5.605729484013634
1812,1821,1.066,13400000,0.6,false,5.86914,13400000,0.9394402526234323,5.513706364282291
1822,1831,1.066,15800000,0.6,false,5.86914,15800000,0.9576514211725995,5.620590262060951
1832,1841,1.066,20200000,0.6,false,5.86914,20200000,1.0677685883120296,6.266883332405665
1842,1851,1.066,27400000,0.6,false,5.86914,27400000,1.0051213423852545,5.899197875446992
1852,1861,1.066,29000000,0.6,false,5.86914,29000000,0.9443900177804373,5.5427572289558755
1862,1871,1.066,31400000,0.6,false,5.86914,31400000,0.9273649241554363,5.442834570957637
1872,1881,1.066,35000000,0.6,false,5.86914,35000000,0.957482264249997,5.619597456400228
1882,1891,1.066,37800000,0.6,false,5.86914,37800000,0.9610383514885227,5.640468630255348
1892,1901,1.066,38200000,0.6,false,5.86914,38200000,0.9457455182290875,5.550712850859067
1902,1911,1.003,42000000,0.13,false,5.86914,42000000,0.980516642602896,5.754789447766361
1912,1921,1.003,44000000,0.13,false,5.86914,44000000,0.9459090550876322,5.551672671577026
1922,1931,1.003,45000000,0.13,false,5.86914,45000000,0.939919414225454,5.516518630807181
1932,1941,1.003,50200000,0.13,false,5.86914,50200000,0.9799289095093439,5.7513399599576704
1942,1951,1.003,52800000,0.13,false,5.86914,52800000,0.9625864240792585,5.6495544850205395
1952,1961,1.003,55800000,0.13,false,5.86914,55800000,0.9559536149697795,5.610625599763732
1962,1971,1.003,56200000,0.13,false,5.86914,56200000,0.9478571379962185,5.563106242899126
1972,1981,1.003,57400000,0.13,false,5.86914,57400000,0.9485666391225298,5.567270404339604
1982,1991,1.003,59200000,0.13,false,5.86914,59200000,0.9506633451115301,5.579576265327885
1992,2001,1.003,63200000,0.13,false,5.86914,63200000,0.9581178719538596,5.623327926999275
2002,2011,1.003,65600000,0.13,false,5.86914,65600000,0.9587565253490855,5.627076273187331
2012,2015,1.003,66200000,0.13,false,5.86914,66200000,0.9350769422115947,5.4880974846117585
