"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","0.15723437","1500","1.952607381113573","0.30701699142674255"
"1","43","1.066","2000","0.6","false","0.07911718","2000","2.378766942199738","0.18820133234406625"
"44","200","1.066","4500","0.6","false","0.07911718","4500","1.1257190752344253","0.08906371870475556"
"201","410","1.066","3000","0.6","false","0.04005858","3000","2.103822604420452","0.08427614610498503"
"411","430","1.066","1250","0.6","false","0.04005858","1250","1.1574379694300583","0.046365321493451545"
"431","500","1.066","1300","0.6","false","0.04005858","1300","1.1559028571638017","0.04630382707592473"
"501","750","1.066","1300","0.6","false","0.04005858","1300","1.0562167880172637","0.0423105447001326"
"751","950","1.066","1400","0.6","false","0.04005858","1400","1.0151436515497467","0.040665213177097655"
"951","1066","1.066","1500","0.6","false","0.04005858","1500","1.0049270083141455","0.04025594895671287"
"1067","1086","1.066","2000","0.6","false","0.04005858","2000","1.057976094335856","0.04238102001304044"
"1087","1190","1.066","3700","0.6","false","0.04005858","3700","1.0655738032699298","0.04268537344419275"
"1191","1220","1.066","4800","0.6","false","0.04005858","4800","1.0497197952496364","0.042050284395591185"
"1221","1250","1.066","5000","0.6","false","0.04005858","5000","1.018806347666321","0.04081193558249913"
"1251","1279","1.066","5300","0.6","false","0.04005858","5300","1.0089263654309584","0.040416157523725287"
"1280","1290","1.066","5700","0.6","false","0.04005858","5700","1.0139681287588063","0.04061812340333495"
"1291","1315","1.066","5600","0.6","false","0.04005858","5600","0.998621282153823","0.04000335052086149"
"1316","1325","1.066","5000","0.6","false","0.04005858","5000","0.9829279063993669","0.03937469617273155"
"1326","1348","1.066","5700","0.6","false","0.04005858","5700","1.0041468675263976","0.040224697624555605"
"1349","1351","1.066","3000","0.6","true","0.04005858","3000","0.830645839323271","0.033274492806198396"
"1352","1377","1.066","3000","0.6","false","0.04005858","3000","0.9852861362071584","0.03946916351014536"
"1378","1400","1.066","2500","0.6","false","0.04005858","2500","0.9689029652044246","0.038812876943878666"
"1401","1430","1.066","2400","0.6","false","0.04005858","2400","0.9718845653245632","0.038932315610819244"
"1431","1450","1.066","2300","0.6","false","0.04005858","2300","0.971500308767469","0.03891692283878636"
"1451","1490","1.066","2600","0.6","false","0.04005858","2600","0.9811426948558541","0.03930318313329882"
"1491","1522","1.066","2800","0.6","false","0.04005858","2800","0.975882373602642","0.039092462133551324"
"1523","1541","1.066","3400","0.6","false","0.04005858","3400","1.006708436646868","0.040327310446093494"
"1542","1560","1.066","3800","0.6","false","0.04005858","3800","0.9976324187150077","0.03996373805568864"
"1561","1600","1.066","5000","0.6","false","0.04005858","5000","1.0182848932320596","0.04079104685832792"
"1601","1650","1.066","6300","0.6","false","0.04005858","6300","1.0126079455043584","0.04056363639362198"
"1651","1700","1.066","6200","0.6","false","0.04005858","6200","0.9890868051988013","0.0396214129130006"
"1701","1801","1.066","11300","0.6","false","0.04005858","11300","1.0402504326927238","0.04167095517805609"
"1802","1811","1.066","12500","0.6","false","0.04005858","12500","1.0177462953242444","0.04076947139094988"
"1812","1821","1.066","13400","0.6","false","0.04005858","13400","1.010745352357929","0.040489023557058294"
"1822","1831","1.066","15800","0.6","false","0.04005858","15800","1.0441067161720812","0.04182543241831661"
"1832","1841","1.066","20200","0.6","false","0.04005858","20200","1.0842959675045578","0.04343535675795873"
"1842","1851","1.066","27400","0.6","false","0.04005858","27400","1.1313586384728436","0.045320620527955484"
"1852","1861","1.066","29000","0.6","false","0.04005858","29000","1.0372272071552087","0.0415498490560035"
"1862","1871","1.066","31500","0.6","false","0.04005858","31500","1.0412219820495654","0.041709874065691085"
"1872","1881","1.066","35000","0.6","false","0.04005858","35000","1.047833052613434","0.041974704164759465"
"1882","1891","1.066","37800","0.6","false","0.04005858","37800","1.0418782513085083","0.04173616328030199"
"1892","1901","1.066","38200","0.6","false","0.04005858","38200","1.0252308371540977","0.041069291508604396"
"1902","1911","1.003","42100","0.13","false","0.04005858","42100","1.122816862822254","0.044978449124714284"
"1912","1921","1.003","44000","0.13","false","0.04005858","44000","1.1038840565410792","0.04422002778967535"
"1922","1931","1.003","45000","0.13","false","0.04005858","45000","1.100350612898374","0.04407848305483855"
"1932","1941","1.003","50200","0.13","false","0.04005858","50200","1.2345199293329947","0.04945311535078012"
"1942","1951","1.003","52800","0.13","false","5.02002929","52800","2.703218971207449","13.57023841274506"
"1952","1961","1.003","55900","0.13","false","5.02002929","55900","1.4102263888058955","7.079377777336523"
"1962","1971","1.003","56300","0.13","false","5.02002929","56300","1.2555420105695054","6.302857667884407"
"1972","1981","1.003","57400","0.13","false","5.02002929","57400","1.164706480968921","5.84686064871681"
"1982","1991","1.003","59300","0.13","false","5.02002929","59300","1.0856350588550363","5.449919793703156"
"1992","2001","1.003","63200","0.13","false","5.02002929","63200","1.037146944427263","5.206508039058862"
"2002","2011","1.003","65600","0.13","false","5.02002929","65600","0.9736142430731615","4.88757201738845"
"2012","2015","1.003","66270","0.13","false","5.02002929","66270","0.9127398986656126","4.581981025453007"
