"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","15","0.6","false","0.078125","15","3.335935383278352","0.26061995181862124"
"1","43","1.066","20","0.6","false","0.058593","20","3.9950933580908212","0.2340845051306155"
"44","200","1.066","45","0.6","false","0.058593","45","1.0627315798697214","0.06226863145930659"
"201","410","1.066","30","0.6","false","0.058593","30","0.9816762173950784","0.057519354605829826"
"411","430","1.066","12","0.6","false","0.058593","12","1.0110710123210123","0.05924168382492507"
"431","500","1.066","13","0.6","false","0.058593","13","1.0311989795918366","0.06042104181122448"
"501","750","1.066","13","0.6","false","0.058593","13","1.0085907647907646","0.05909635868138527"
"751","950","1.066","14","0.6","false","0.058593","14","1.0292438982586039","0.060306487730666374"
"951","1066","1.066","15","0.6","false","0.051268","15","5.8635594354090985","0.30061296513455366"
"1067","1086","1.066","20","0.6","false","0.051268","20","1.2385614772224678","0.06349856981424148"
"1087","1190","1.066","37","0.6","false","0.051268","37","1.160479214156606","0.05949544835138088"
"1191","1220","1.066","48","0.6","false","0.051268","48","1.154083463271022","0.05916755099497876"
"1221","1250","1.066","50","0.6","false","0.051268","50","1.1283898947174469","0.057850293122374066"
"1251","1279","1.066","53","0.6","false","0.051268","53","1.1304447236224073","0.05795564009067358"
"1280","1290","1.066","57","0.6","false","0.051268","57","1.1657799187444928","0.05976720487419266"
"1291","1315","1.066","56","0.6","false","0.051268","56","1.121248060618496","0.057484145571789054"
"1316","1325","1.066","50","0.6","false","0.051268","50","1.1417050650948384","0.05853293527728218"
"1326","1348","1.066","57","0.6","false","0.051268","57","1.1133127418138526","0.0570773176473126"
"1349","1351","1.066","30","0.6","true","0.051268","30","0.8906496886327725","0.04566182823682498"
"1352","1377","1.066","30","0.6","false","0.051268","30","1.129869150890371","0.057926131627847544"
"1378","1400","1.066","25","0.6","false","0.070699","25","5.359135735015257","0.37888553732984365"
"1401","1430","1.066","24","0.6","false","0.053023999999999995","24","3.563331395427856","0.18894208391116663"
"1431","1450","1.066","23","0.6","false","0.053023999999999995","23","1.049599326112484","0.05565395466778835"
"1451","1490","1.066","26","0.6","false","0.053023999999999995","26","1.0984310391701695","0.058243207420959064"
"1491","1522","1.066","28","0.6","false","0.053023999999999995","28","1.095440849408241","0.05808465559902257"
"1523","1541","1.066","34","0.6","false","0.053023999999999995","34","1.1201557307697172","0.05939513746833348"
"1542","1560","1.066","38","0.6","false","0.053023999999999995","38","1.1359932210975854","0.060234904555478364"
"1561","1600","1.066","50","0.6","false","0.053023999999999995","50","1.0868081655691326","0.05762691617113768"
"1601","1650","1.066","63","0.6","false","0.053023999999999995","63","1.0829483108105138","0.05742225123241668"
"1651","1700","1.066","62","0.6","false","0.053023999999999995","62","1.0911695935808112","0.05785817653002893"
"1701","1801","1.066","113","0.6","false","0.053023999999999995","113","1.1195493085136021","0.059362982534625235"
"1802","1811","1.066","125","0.6","false","0.053023999999999995","125","1.0838038246783834","0.0574676139997466"
"1812","1821","1.066","134","0.6","false","0.053023999999999995","134","1.0820148253034263","0.05737275409688887"
"1822","1831","1.066","158","0.6","false","0.053023999999999995","158","1.1131107720490765","0.05902158557713023"
"1832","1841","1.066","202","0.6","false","0.053023999999999995","202","1.13025505363788","0.05993064396409494"
"1842","1851","1.066","274","0.6","false","0.053023999999999995","274","1.182099900053149","0.06267966510041816"
"1852","1861","1.066","290","0.6","false","0.053023999999999995","290","1.0906023145013923","0.05782809712412182"
"1862","1871","1.066","315","0.6","false","0.053023999999999995","315","1.0909911475013645","0.057848714605112345"
"1872","1881","1.066","350","0.6","false","0.053023999999999995","350","1.0833204268739902","0.05744198231456645"
"1882","1891","1.066","378","0.6","false","0.053023999999999995","378","1.0954431702742482","0.05808477866062173"
"1892","1901","1.066","382","0.6","false","0.053023999999999995","382","1.0737418283274427","0.05693408670523432"
"1902","1911","1.003","421","0.13","false","0.053023999999999995","421","1.0990026073947539","0.05827351425449942"
"1912","1921","1.003","440","0.13","false","0.053023999999999995","440","1.0702867291196843","0.05675088352484213"
"1922","1931","1.003","450","0.13","false","0.053023999999999995","450","1.0698595868600225","0.056728234733665825"
"1932","1941","1.003","502","0.13","false","0.053023999999999995","502","1.1062084405179238","0.05865559635002238"
"1942","1951","1.003","528","0.13","false","0.053023999999999995","528","1.105414940418321","0.05861352180074104"
"1952","1961","1.003","559","0.13","false","0.053023999999999995","559","1.1186226941146598","0.059313849732735714"
"1962","1971","1.003","563","0.13","false","0.053023999999999995","563","1.078186614721453","0.057169767058990316"
"1972","1981","1.003","574","0.13","false","0.053023999999999995","574","1.1036500883752396","0.0585199422860087"
"1982","1991","1.003","593","0.13","false","0.053023999999999995","593","1.0949369844312105","0.0580579386624805"
"1992","2001","1.003","632","0.13","false","0.053023999999999995","632","1.0988823565217332","0.058267138072208374"
"2002","2011","1.003","656","0.13","false","0.053023999999999995","656","1.0847245902790568","0.0575164366749567"
"2012","2015","1.003","662","0.13","false","0.053023999999999995","662","1.0826485332623452","0.057406355827702586"
