"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.93753124","1500","9.929728860981067","19.239159872880435"
"1","43","1.066","2000","0.6","false","1.93753124","2000","1.0542274903285216","2.0425986965783083"
"44","200","1.066","4500","0.6","false","1.45339842","4500","3.518049271970479","5.113127253364045"
"201","410","1.066","3000","0.6","false","1.45339842","3000","0.9037774693368887","1.3135487459658326"
"411","430","1.066","1250","0.6","false","1.45339842","1250","0.8594299852550729","1.2490941826703463"
"431","500","1.066","1300","0.6","false","1.45339842","1300","0.879727424087721","1.2785944481997638"
"501","750","1.066","1300","0.6","false","1.09029881","1300","3.7558081037836892","4.094953106143713"
"751","950","1.066","1400","0.6","false","1.09029881","1400","1.1491061288350168","1.2528690448325255"
"951","1066","1.066","1500","0.6","false","1.09029881","1500","1.1458348862626542","1.2493024129486572"
"1067","1086","1.066","2000","0.6","false","1.09029881","2000","1.1958027359580303","1.3037823000097846"
"1087","1190","1.066","3700","0.6","false","1.09029881","3700","1.1899285351053288","1.2973776658103833"
"1191","1220","1.066","4800","0.6","false","1.09029881","4800","1.177903376942589","1.2842666501754862"
"1221","1250","1.066","5000","0.6","false","1.09029881","5000","1.149497155200257","1.2532953804132256"
"1251","1279","1.066","5300","0.6","false","1.09029881","5300","1.1494251594322653","1.253216883513059"
"1280","1290","1.066","5700","0.6","false","1.09029881","5700","1.1546428130981203","1.258905685095933"
"1291","1315","1.066","5600","0.6","false","1.09029881","5600","1.1478074841505908","1.251453134078483"
"1316","1325","1.066","5000","0.6","false","1.09029881","5000","1.1345385438079483","1.236986024212939"
"1326","1348","1.066","5700","0.6","false","1.09029881","5700","1.160976128641197","1.265810891495904"
"1349","1351","1.066","3000","0.6","true","1.09029881","3000","0.9862770796694832","1.0753367262939126"
"1352","1377","1.066","3000","0.6","false","1.09029881","3000","1.1448266460128762","1.24820312980413"
"1378","1400","1.066","2500","0.6","false","1.09029881","2500","1.1357114698912227","1.238264864125751"
"1401","1430","1.066","2400","0.6","false","1.09029881","2400","1.1412610399337633","1.2443155537391446"
"1431","1450","1.066","2300","0.6","false","1.09029881","2300","1.145226476882947","1.2486390649259695"
"1451","1490","1.066","2600","0.6","false","1.09029881","2600","1.1572151796696168","1.2617103333077193"
"1491","1522","1.066","2800","0.6","false","1.09029881","2800","1.151932320147792","1.2559504378576767"
"1523","1541","1.066","3400","0.6","false","1.09029881","3400","1.1749281050856661","1.2810227148104567"
"1542","1560","1.066","3800","0.6","false","1.09029881","3800","1.1613476286499733","1.2662159375133877"
"1561","1600","1.066","5000","0.6","false","1.09029881","5000","1.1724361417128741","1.278305730110538"
"1601","1650","1.066","6300","0.6","false","1.09029881","6300","1.1664570159987655","1.271786696459605"
"1651","1700","1.066","6200","0.6","false","1.09029881","6200","1.150218489432295","1.2540818502680289"
"1701","1801","1.066","11300","0.6","false","1.09029881","11300","1.1963728670420468","1.3044039132522318"
"1802","1811","1.066","12500","0.6","false","1.09029881","12500","1.1715973208060755","1.2773911646740523"
"1812","1821","1.066","13400","0.6","false","1.09029881","13400","1.164050689588726","1.2691630816382673"
"1822","1831","1.066","15800","0.6","false","1.09029881","15800","1.1917011717537087","1.299310369438674"
"1832","1841","1.066","20200","0.6","false","1.09029881","20200","1.2330672029390661","1.3444117040144923"
"1842","1851","1.066","27400","0.6","false","1.09029881","27400","1.2718542314215753","1.386701155012408"
"1852","1861","1.066","29000","0.6","false","1.09029881","29000","1.1698908095384077","1.2755305574696625"
"1862","1871","1.066","31500","0.6","false","1.09029881","31500","1.1756898678034011","1.2818532637951054"
"1872","1881","1.066","35000","0.6","false","1.09029881","35000","1.1799289003239095","1.286475075907767"
"1882","1891","1.066","37800","0.6","false","1.09029881","37800","1.171722155979227","1.2775272723147855"
"1892","1901","1.066","38200","0.6","false","1.09029881","38200","1.1580278375925257","1.262596373274004"
"1902","1911","1.003","42100","0.13","false","1.5451494000000001","42100","2.4312278914273713","3.7566103177022683"
"1912","1921","1.003","44000","0.13","false","1.5451494000000001","44000","1.0231055353077574","1.5808509040174603"
"1922","1931","1.003","45000","0.13","false","1.5451494000000001","45000","0.8853260103934693","1.3679609537638628"
"1932","1941","1.003","50200","0.13","false","1.5451494000000001","50200","0.9408228293835604","1.453711830328311"
"1942","1951","1.003","52800","0.13","false","1.5451494000000001","52800","0.9824048360509495","1.5179622429812232"
"1952","1961","1.003","55900","0.13","false","1.5451494000000001","55900","1.0208952119426484","1.577435624196056"
"1962","1971","1.003","56300","0.13","false","1.5451494000000001","56300","0.9704106369840536","1.4994294134895283"
"1972","1981","1.003","57400","0.13","false","1.5451494000000001","57400","0.9871312292632464","1.5252652266173676"
"1982","1991","1.003","59300","0.13","false","1.5451494000000001","59300","1.0010811872234555","1.54681999578961"
"1992","2001","1.003","63200","0.13","false","1.5451494000000001","63200","1.0420894371927294","1.6101838686246837"
"2002","2011","1.003","65600","0.13","false","1.5451494000000001","65600","1.0504899234387017","1.623163874907356"
"2012","2015","1.003","66270","0.13","false","1.5451494000000001","66270","1.0383967008918704","1.604478039345053"
