"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","2500.0","1500","2.1151461582590034","5287.865395647508"
"1","43","1.066","2000","0.6","false","2500.0","2000","1.0109821898849913","2527.4554747124785"
"44","200","1.066","4500","0.6","false","2500.0","4500","1.0268054876638222","2567.0137191595554"
"201","410","1.066","3000","0.6","false","2500.0","3000","0.9850517593040664","2462.629398260166"
"411","430","1.066","1250","0.6","false","2500.0","1250","0.9550249455285037","2387.562363821259"
"431","500","1.066","1300","0.6","false","2500.0","1300","0.9881405280900272","2470.351320225068"
"501","750","1.066","1300","0.6","false","2500.0","1300","0.9870908629480438","2467.7271573701096"
"751","950","1.066","1400","0.6","false","2500.0","1400","0.9867737051923924","2466.9342629809807"
"951","1066","1.066","1500","0.6","false","2500.0","1500","0.98740584809559","2468.514620238975"
"1067","1086","1.066","2000","0.6","false","2500.0","2000","1.0282520611554067","2570.630152888517"
"1087","1190","1.066","3700","0.6","false","2500.0","3700","1.0172710254733892","2543.177563683473"
"1191","1220","1.066","4800","0.6","false","2500.0","4800","1.0092661640429441","2523.1654101073605"
"1221","1250","1.066","5000","0.6","false","2500.0","5000","0.9874536637302987","2468.634159325747"
"1251","1279","1.066","5300","0.6","false","2500.0","5300","0.988388874103457","2470.9721852586426"
"1280","1290","1.066","5700","0.6","false","2500.0","5700","0.9945667372101487","2486.4168430253717"
"1291","1315","1.066","5600","0.6","false","2500.0","5600","0.9875674406236169","2468.918601559042"
"1316","1325","1.066","5000","0.6","false","2500.0","5000","0.9765541514465073","2441.385378616268"
"1326","1348","1.066","5700","0.6","false","2500.0","5700","0.994043483800074","2485.108709500185"
"1349","1351","1.066","3000","0.6","true","2500.0","3000","0.8315488282348474","2078.8720705871187"
"1352","1377","1.066","3000","0.6","false","2500.0","3000","0.9897048145097546","2474.2620362743864"
"1378","1400","1.066","2500","0.6","false","2500.0","2500","0.9793951975739204","2448.4879939348007"
"1401","1430","1.066","2400","0.6","false","2500.0","2400","0.9827304482479747","2456.826120619937"
"1431","1450","1.066","2300","0.6","false","2500.0","2300","0.9861419253105123","2465.3548132762808"
"1451","1490","1.066","2600","0.6","false","2500.0","2600","0.9918774499762593","2479.693624940648"
"1491","1522","1.066","2800","0.6","false","2500.0","2800","0.9900113068116203","2475.0282670290508"
"1523","1541","1.066","3400","0.6","false","2500.0","3400","1.0064571181335127","2516.1427953337816"
"1542","1560","1.066","3800","0.6","false","2500.0","3800","0.9940254363248413","2485.0635908121035"
"1561","1600","1.066","5000","0.6","false","2500.0","5000","1.0044367533700285","2511.091883425071"
"1601","1650","1.066","6300","0.6","false","2500.0","6300","0.996555926846214","2491.3898171155347"
"1651","1700","1.066","6200","0.6","false","2500.0","6200","0.9861511321784896","2465.377830446224"
"1701","1801","1.066","11300","0.6","false","2500.0","11300","1.0208846038428097","2552.2115096070243"
"1802","1811","1.066","12500","0.6","false","2500.0","12500","0.9999848734892998","2499.9621837232494"
"1812","1821","1.066","13400","0.6","false","2500.0","13400","0.9933782856250192","2483.4457140625477"
"1822","1831","1.066","15800","0.6","false","2500.0","15800","1.0150049957127418","2537.5124892818544"
"1832","1841","1.066","20200","0.6","false","2500.0","20200","1.045636595778007","2614.0914894450175"
"1842","1851","1.066","27400","0.6","false","2500.0","27400","1.074158989626263","2685.3974740656577"
"1852","1861","1.066","29000","0.6","false","2500.0","29000","0.9922802273994267","2480.7005684985666"
"1862","1871","1.066","31500","0.6","false","2500.0","31500","0.9967562216550249","2491.890554137562"
"1872","1881","1.066","35000","0.6","false","2500.0","35000","1.00092243293512","2502.3060823378"
"1882","1891","1.066","37800","0.6","false","2500.0","37800","0.9963920823567826","2490.9802058919563"
"1892","1901","1.066","38200","0.6","false","2500.0","38200","0.9873023845553586","2468.2559613883964"
"1902","1911","1.003","42100","0.13","false","2500.0","42100","1.016989567249578","2542.4739181239447"
"1912","1921","1.003","44000","0.13","false","2500.0","44000","0.9778958961899178","2444.7397404747944"
"1922","1931","1.003","45000","0.13","false","2500.0","45000","0.9786124149199052","2446.5310372997633"
"1932","1941","1.003","50200","0.13","false","2500.0","50200","1.03892422210241","2597.310555256025"
"1942","1951","1.003","52800","0.13","false","2500.0","52800","1.0146869161033778","2536.7172902584443"
"1952","1961","1.003","55900","0.13","false","2500.0","55900","1.0025517993405653","2506.379498351413"
"1962","1971","1.003","56300","0.13","false","2500.0","56300","0.9906385659054375","2476.5964147635937"
"1972","1981","1.003","57400","0.13","false","2500.0","57400","0.992535814218267","2481.3395355456673"
"1982","1991","1.003","59300","0.13","false","2500.0","59300","0.9944876408620094","2486.2191021550234"
"1992","2001","1.003","63200","0.13","false","2500.0","63200","1.0120348727128985","2530.0871817822463"
"2002","2011","1.003","65600","0.13","false","2500.0","65600","0.9978945199717717","2494.736299929429"
"2012","2015","1.003","66270","0.13","false","2500.0","66270","0.9908722742450811","2477.1806856127027"
