"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","20000.0","1500","1.0909649588351245","21819.29917670249"
"1","43","1.066","2000","0.6","false","20000.0","2000","1.10250379481969","22050.075896393802"
"44","200","1.066","4500","0.6","false","20000.0","4500","1.1212441106782622","22424.882213565244"
"201","410","1.066","3000","0.6","false","20000.0","3000","1.07576845249418","21515.3690498836"
"411","430","1.066","1250","0.6","false","20000.0","1250","1.0484680740652383","20969.361481304768"
"431","500","1.066","1300","0.6","false","20000.0","1300","1.0797674293366302","21595.3485867326"
"501","750","1.066","1300","0.6","false","20000.0","1300","1.0786496111715722","21572.992223431444"
"751","950","1.066","1400","0.6","false","20000.0","1400","1.0786809675168672","21573.619350337343"
"951","1066","1.066","1500","0.6","false","20000.0","1500","1.0785450265897167","21570.900531794334"
"1067","1086","1.066","2000","0.6","false","20000.0","2000","1.1214540723292865","22429.08144658573"
"1087","1190","1.066","3700","0.6","false","20000.0","3700","1.1156772859660185","22313.54571932037"
"1191","1220","1.066","4800","0.6","false","20000.0","4800","1.0990594535927487","21981.189071854973"
"1221","1250","1.066","5000","0.6","false","20000.0","5000","1.0788710372411219","21577.420744822437"
"1251","1279","1.066","5300","0.6","false","20000.0","5300","1.079078215720794","21581.564314415882"
"1280","1290","1.066","5700","0.6","false","20000.0","5700","1.0873789862450105","21747.57972490021"
"1291","1315","1.066","5600","0.6","false","20000.0","5600","1.077072492288041","21541.44984576082"
"1316","1325","1.066","5000","0.6","false","20000.0","5000","1.068428647308147","21368.57294616294"
"1326","1348","1.066","5700","0.6","false","20000.0","5700","1.0884357326361862","21768.714652723724"
"1349","1351","1.066","3000","0.6","true","20000.0","3000","0.909696179711573","18193.92359423146"
"1352","1377","1.066","3000","0.6","false","20000.0","3000","1.0757029639683964","21514.059279367928"
"1378","1400","1.066","2500","0.6","false","20000.0","2500","1.074674768484679","21493.495369693577"
"1401","1430","1.066","2400","0.6","false","20000.0","2400","1.076382691234092","21527.653824681838"
"1431","1450","1.066","2300","0.6","false","20000.0","2300","1.0745161299329296","21490.32259865859"
"1451","1490","1.066","2600","0.6","false","20000.0","2600","1.083394048524788","21667.88097049576"
"1491","1522","1.066","2800","0.6","false","20000.0","2800","1.080083951066482","21601.679021329637"
"1523","1541","1.066","3400","0.6","false","20000.0","3400","1.1041067542390273","22082.135084780544"
"1542","1560","1.066","3800","0.6","false","20000.0","3800","1.0871836161396207","21743.672322792412"
"1561","1600","1.066","5000","0.6","false","20000.0","5000","1.0979876932864392","21959.753865728784"
"1601","1650","1.066","6300","0.6","false","20000.0","6300","1.0916252643785693","21832.505287571388"
"1651","1700","1.066","6200","0.6","false","20000.0","6200","1.077522517385929","21550.450347718583"
"1701","1801","1.066","11300","0.6","false","20000.0","11300","1.1146515913963246","22293.031827926494"
"1802","1811","1.066","12500","0.6","false","20000.0","12500","1.0915327973807816","21830.655947615633"
"1812","1821","1.066","13400","0.6","false","20000.0","13400","1.0847297390646875","21694.59478129375"
"1822","1831","1.066","15800","0.6","false","20000.0","15800","1.1078951296159567","22157.902592319133"
"1832","1841","1.066","20200","0.6","false","20000.0","20200","1.1425757184973753","22851.514369947505"
"1842","1851","1.066","27400","0.6","false","20000.0","27400","1.17242874501575","23448.574900315"
"1852","1861","1.066","29000","0.6","false","20000.0","29000","1.0847307810489195","21694.61562097839"
"1862","1871","1.066","31500","0.6","false","20000.0","31500","1.0881446496274645","21762.89299254929"
"1872","1881","1.066","35000","0.6","false","20000.0","35000","1.0927122099132585","21854.24419826517"
"1882","1891","1.066","37800","0.6","false","20000.0","37800","1.0874042213311674","21748.084426623347"
"1892","1901","1.066","38200","0.6","false","20000.0","38200","1.080292008883444","21605.84017766888"
"1902","1911","1.003","42100","0.13","false","20000.0","42100","1.1128015469813344","22256.03093962669"
"1912","1921","1.003","44000","0.13","false","20000.0","44000","1.0678878580957305","21357.75716191461"
"1922","1931","1.003","45000","0.13","false","20000.0","45000","1.0708180446525006","21416.360893050012"
"1932","1941","1.003","50200","0.13","false","20000.0","50200","1.1332069128081361","22664.13825616272"
"1942","1951","1.003","52800","0.13","false","20000.0","52800","1.1087014373053903","22174.028746107804"
"1952","1961","1.003","55900","0.13","false","20000.0","55900","1.0987393801467928","21974.787602935856"
"1962","1971","1.003","56300","0.13","false","20000.0","56300","1.0827976965506936","21655.95393101387"
"1972","1981","1.003","57400","0.13","false","20000.0","57400","1.0849391847264134","21698.78369452827"
"1982","1991","1.003","59300","0.13","false","20000.0","59300","1.0875333235230737","21750.666470461474"
"1992","2001","1.003","63200","0.13","false","20000.0","63200","1.107521329819607","22150.42659639214"
"2002","2011","1.003","65600","0.13","false","20000.0","65600","1.0903142705586844","21806.28541117369"
"2012","2015","1.003","66270","0.13","false","20000.0","66270","1.0834410321006822","21668.820642013645"
