"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.0","1500","0.0","0.0"
"1","43","1.066","2000","0.6","false","1.0","2000","0.0","0.0"
"44","200","1.066","4500","0.6","false","1.0","4500","0.0","0.0"
"201","410","1.066","3000","0.6","false","1.0","3000","0.0","0.0"
"411","430","1.066","1250","0.6","false","1.0","1250","0.0","0.0"
"431","500","1.066","1300","0.6","false","1.0","1300","0.0","0.0"
"501","750","1.066","1300","0.6","false","1.0","1300","0.0","0.0"
"751","1085","1.066","1400","0.6","false","1.0","1400","0.0","0.0"
"1086","1189","1.066","3100","0.6","false","1.0","3100","0.0","0.0"
"1190","1219","1.066","3970","0.6","false","1.0","3970","0.0","0.0"
"1220","1249","1.066","4230","0.6","false","1.0","4230","0.0","0.0"
"1250","1278","1.066","4430","0.6","false","1.0","4430","0.0","0.0"
"1279","1289","1.066","4750","0.6","false","1.0","4750","0.0","0.0"
"1290","1314","1.066","4690","0.6","false","1.0","4690","0.0","0.0"
"1315","1324","1.066","4120","0.6","false","1.0","4120","0.0","0.0"
"1325","1347","1.066","4810","0.6","false","1.0","4810","0.0","0.0"
"1348","1350","1.066","2600","0.6","true","1.0","2600","0.0","0.0"
"1351","1376","1.066","2500","0.6","false","1.0","2500","0.0","0.0"
"1377","1399","1.066","2080","0.6","false","1.0","2080","0.0","0.0"
"1400","1429","1.066","2020","0.6","false","1.0","2020","0.0","0.0"
"1430","1449","1.066","1900","0.6","false","1.0","1900","0.0","0.0"
"1450","1489","1.066","2140","0.6","false","1.0","2140","0.0","0.0"
"1490","1521","1.066","2350","0.6","false","1.0","2350","0.0","0.0"
"1522","1540","1.066","2830","0.6","false","1.0","2830","0.0","0.0"
"1541","1559","1.066","3200","0.6","false","1.0","3200","0.0","0.0"
"1560","1599","1.066","4110","0.6","false","1.0","4110","0.0","0.0"
"1600","1649","1.066","5310","0.6","false","1.0","5310","0.0","0.0"
"1650","1699","1.066","5200","0.6","false","1.0","5200","0.0","0.0"
"1700","1800","1.066","7755","0.6","false","1.0","7755","0.0","0.0"
"1801","1810","1.066","8762","0.6","false","1.0","8762","0.0","0.0"
"1811","1820","1.066","10402","0.6","false","1.0","10402","0.0","0.0"
"1821","1830","1.066","12012","0.6","false","1.0","12012","0.0","0.0"
"1831","1840","1.066","13659","0.6","false","1.0","13659","0.0","0.0"
"1841","1850","1.066","15289","0.6","false","1.0","15289","0.0","0.0"
"1851","1860","1.066","18325","0.6","false","1.0","18325","0.0","0.0"
"1861","1870","1.066","21361","0.6","false","1.0","21361","0.0","0.0"
"1871","1880","1.066","24297","0.6","false","1.0","24297","0.0","0.0"
"1881","1890","1.066","27231","0.6","false","1.0","27231","0.0","0.0"
"1891","1900","1.066","30000","0.6","false","1.0","30000","0.0","0.0"
"1901","2015","1.003","65000","0.13","false","1.0","65000","0.0","0.0"
