"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","152.58780000000002","1500","17.731755493384068","2705.64956087339"
"1","43","1.066","2000","0.6","false","28.610100000000003","2000","6.458053742341687","184.76556337376994"
"44","200","1.066","4500","0.6","false","2.6821","4500","10.18076873004144","27.305839810844144"
"201","410","1.066","3000","0.6","false","2.0115000000000003","3000","3.6832162264631174","7.408789439530562"
"411","430","1.066","1250","0.6","false","2.0115000000000003","1250","0.8981805369395415","1.8066901500538879"
"431","500","1.066","1300","0.6","false","2.0115000000000003","1300","0.9133946929232968","1.8372934248152117"
"501","750","1.066","1300","0.6","false","1.5086000000000002","1300","3.8148555984094896","5.755091155760557"
"751","950","1.066","1400","0.6","false","1.5086000000000002","1400","1.1521317344478468","1.7381059345880219"
"951","1066","1.066","1500","0.6","false","1.5086000000000002","1500","1.1434231073544432","1.7249680997549133"
"1067","1086","1.066","2000","0.6","false","1.5086000000000002","2000","1.1850780249859538","1.7878087084938101"
"1087","1190","1.066","3700","0.6","false","1.5086000000000002","3700","1.1761658745958814","1.7743638384153468"
"1191","1220","1.066","4800","0.6","false","1.5086000000000002","4800","1.1593846652009911","1.7490477059222154"
"1221","1250","1.066","5000","0.6","false","1.5086000000000002","5000","1.1348641638226638","1.7120560775428708"
"1251","1279","1.066","5300","0.6","false","1.5086000000000002","5300","1.1330695282091106","1.7093486902562645"
"1280","1290","1.066","5700","0.6","false","1.5086000000000002","5700","1.138601300627376","1.7176939221264598"
"1291","1315","1.066","5600","0.6","false","1.5086000000000002","5600","1.1286548735474053","1.7026887422336159"
"1316","1325","1.066","5000","0.6","false","1.5086000000000002","5000","1.1188943613870035","1.6879640335884336"
"1326","1348","1.066","5700","0.6","false","1.5086000000000002","5700","1.1404287036374792","1.7204507423075013"
"1349","1351","1.066","3000","0.6","true","1.5086000000000002","3000","0.9488843832427513","1.4314869805600148"
"1352","1377","1.066","3000","0.6","false","1.5086000000000002","3000","1.1274572051193952","1.7008819396431198"
"1378","1400","1.066","2500","0.6","false","1.5086000000000002","2500","1.1181452895999953","1.686833983890553"
"1401","1430","1.066","2400","0.6","false","1.5086000000000002","2400","1.1266932273594177","1.6997294027944176"
"1431","1450","1.066","2300","0.6","false","1.5086000000000002","2300","1.1231403783253142","1.6943695747415692"
"1451","1490","1.066","2600","0.6","false","1.5086000000000002","2600","1.131418912753373","1.7068585717797387"
"1491","1522","1.066","2800","0.6","false","1.5086000000000002","2800","1.1286300468749682","1.7026512887155771"
"1523","1541","1.066","3400","0.6","false","1.5086000000000002","3400","1.147477678214833","1.7310848253548974"
"1542","1560","1.066","3800","0.6","false","1.5086000000000002","3800","1.1334115388019883","1.7098646474366797"
"1561","1600","1.066","5000","0.6","false","1.5086000000000002","5000","1.1437308968950837","1.7254324310559235"
"1601","1650","1.066","6300","0.6","false","1.5086000000000002","6300","1.1358816246097208","1.713591018886225"
"1651","1700","1.066","6200","0.6","false","1.5086000000000002","6200","1.1209386390360636","1.6910480308498057"
"1701","1801","1.066","11300","0.6","false","1.5086000000000002","11300","1.1589960919417241","1.7484615043032852"
"1802","1811","1.066","12500","0.6","false","1.5086000000000002","12500","1.1351118122495483","1.7124296799596688"
"1812","1821","1.066","13400","0.6","false","1.5086000000000002","13400","1.1268206368947116","1.6999216128193622"
"1822","1831","1.066","15800","0.6","false","1.5086000000000002","15800","1.1535674542042613","1.7402718614125487"
"1832","1841","1.066","20200","0.6","false","1.5086000000000002","20200","1.1857764841287242","1.7888624039565935"
"1842","1851","1.066","27400","0.6","false","1.5086000000000002","27400","1.219299459332993","1.8394351643497535"
"1852","1861","1.066","29000","0.6","false","1.5086000000000002","29000","1.126751956730668","1.699818001923886"
"1862","1871","1.066","31500","0.6","false","1.5086000000000002","31500","1.1295192192358183","1.7039926941391557"
"1872","1881","1.066","35000","0.6","false","1.5086000000000002","35000","1.1366730146887432","1.714784909959438"
"1882","1891","1.066","37800","0.6","false","1.5086000000000002","37800","1.1287866982777142","1.7028876130217598"
"1892","1901","1.066","38200","0.6","false","1.5086000000000002","38200","1.118998070754321","1.6881204895399688"
"1902","1911","1.003","42100","0.13","false","1.5086000000000002","42100","1.159271124933307","1.748876419074387"
"1912","1921","1.003","44000","0.13","false","1.5086000000000002","44000","1.10763501986907","1.6709781909744794"
"1922","1931","1.003","45000","0.13","false","1.5086000000000002","45000","1.1091291262703487","1.6732321998914481"
"1932","1941","1.003","50200","0.13","false","1.5086000000000002","50200","1.1817418559440127","1.7827757638771378"
"1942","1951","1.003","52800","0.13","false","2500000.7543","52800","2.3550535580957335","5887635.671656233"
"1952","1961","1.003","55900","0.13","false","2500000.7543","55900","1.147078409540542","2867696.8890925995"
"1962","1971","1.003","56300","0.13","false","2500000.7543","56300","1.0190311383899222","2547578.614629993"
"1972","1981","1.003","57400","0.13","false","2500000.7543","57400","0.9484652298125882","2371163.7899587937"
"1982","1991","1.003","59300","0.13","false","1.788","59300","20.796571537358446","37.1842699087969"
"1992","2001","1.003","63200","0.13","false","1.788","63200","0.9946507088420024","1.7784354674095002"
"2002","2011","1.003","65600","0.13","false","1.788","65600","0.9780170274985496","1.7486944451674067"
"2012","2015","1.003","66270","0.13","false","1.788","66270","0.9592939793564286","1.7152176350892943"
