"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1250000.0","1500","5.774576886875513","7218221.1085943915"
"1","43","1.066","2000","0.6","false","156250.0","2000","4.004808819389606","625751.3780296259"
"44","200","1.066","4500","0.6","false","9765.625","4500","6.753288209323973","65950.08016917942"
"201","410","1.066","3000","0.6","false","1220.703125","3000","4.474930486061763","5462.561628493363"
"411","430","1.066","1250","0.6","false","1220.703125","1250","0.9331132781080267","1139.0542945654622"
"431","500","1.066","1300","0.6","false","762.93945312","1300","4.517103915344158","3446.276790858883"
"501","750","1.066","1300","0.6","false","286.10229492","1300","6.3339006394654165","1812.1435087463112"
"751","950","1.066","1400","0.6","false","214.57672119","1400","3.904305725672412","837.7731211381298"
"951","1066","1.066","1500","0.6","false","214.57672119","1500","1.0469912059076156","224.65994007842033"
"1067","1086","1.066","2000","0.6","false","214.57672119","2000","1.0398359106046546","223.12458027316475"
"1087","1190","1.066","3700","0.6","false","214.57672119","3700","0.9969893891783133","213.93071419110333"
"1191","1220","1.066","4800","0.6","false","214.57672119","4800","0.9321490065105604","200.01747747755203"
"1221","1250","1.066","5000","0.6","false","214.57672119","5000","0.8949127422199837","192.0274419767158"
"1251","1279","1.066","5300","0.6","false","160.93254088","5300","3.754841452334904","604.2761755258056"
"1280","1290","1.066","5700","0.6","false","160.93254088","5700","1.1600803125974593","186.6946723311738"
"1291","1315","1.066","5600","0.6","false","160.93254088","5600","1.1335457434212564","182.42439669249134"
"1316","1325","1.066","5000","0.6","false","160.93254088","5000","1.1065608596031697","178.08165077429507"
"1326","1348","1.066","5700","0.6","false","160.93254088","5700","1.1194349730770532","180.15351456722456"
"1349","1351","1.066","3000","0.6","true","160.93254088","3000","0.9261956663286887","149.05502193432054"
"1352","1377","1.066","3000","0.6","false","160.93254088","3000","1.0897882260651632","175.38238824177458"
"1378","1400","1.066","2500","0.6","false","160.93254088","2500","1.06852595803702","171.96059742313392"
"1401","1430","1.066","2400","0.6","false","160.93254088","2400","1.0517824540479646","169.26602278294078"
"1431","1450","1.066","2300","0.6","false","160.93254088","2300","1.037525306625111","166.97158382248023"
"1451","1490","1.066","2600","0.6","false","160.93254088","2600","1.0290076142636033","165.6008099483086"
"1491","1522","1.066","2800","0.6","false","160.93254088","2800","1.0088097704980916","162.35031963082756"
"1523","1541","1.066","3400","0.6","false","160.93254088","3400","1.0149150642629925","163.33286006923188"
"1542","1560","1.066","3800","0.6","false","160.93254088","3800","0.9981902889873958","160.6412994884831"
"1561","1600","1.066","5000","0.6","false","160.93254088","5000","0.9931455989716316","159.8294447062942"
"1601","1650","1.066","6300","0.6","false","160.93254088","6300","0.969009934958591","155.9452309708496"
"1651","1700","1.066","6200","0.6","false","160.93254088","6200","0.9377661189542513","150.917084274484"
"1701","1801","1.066","11300","0.6","false","160.93254088","11300","0.9404956002406717","151.35634663319203"
"1802","1811","1.066","12500","0.6","false","160.93254088","12500","0.8909170786246248","143.37754917644762"
"1812","1821","1.066","13400","0.6","false","160.93254088","13400","0.8809770112863637","141.77786888318295"
"1822","1831","1.066","15800","0.6","false","120.69940566","15800","3.705082953761356","447.20131043999294"
"1832","1841","1.066","20200","0.6","false","120.69940566","20200","1.2185832327141508","147.08227193583946"
"1842","1851","1.066","27400","0.6","false","120.69940566","27400","1.2486976922293878","150.7170693011007"
"1852","1861","1.066","29000","0.6","false","120.69940566","29000","1.147149332411982","138.460242625392"
"1862","1871","1.066","31500","0.6","false","120.69940566","31500","1.143095775585713","137.97098072565228"
"1872","1881","1.066","35000","0.6","false","120.69940566","35000","1.1436907506448784","138.04279386167607"
"1882","1891","1.066","37800","0.6","false","120.69940566","37800","1.129256909750279","136.30063784430692"
"1892","1901","1.066","38200","0.6","false","120.69940566","38200","1.11408979852677","134.46997653405026"
"1902","1911","1.003","42100","0.13","false","120.69940566","42100","1.1482519576728545","138.593328839045"
"1912","1921","1.003","44000","0.13","false","120.69940566","44000","1.0986569326816862","132.60723879891816"
"1922","1931","1.003","45000","0.13","false","120.69940566","45000","1.0962036208849963","132.311125523159"
"1932","1941","1.003","50200","0.13","false","120.69940566","50200","1.1580054343478523","139.77056767683592"
"1942","1951","1.003","52800","0.13","false","120.69940566","52800","1.1480670642236215","138.57101230961217"
"1952","1961","1.003","55900","0.13","false","120.69940566","55900","1.1345018983150044","136.93370484676277"
"1962","1971","1.003","56300","0.13","false","120.69940566","56300","1.1076136520095299","133.68830949845233"
"1972","1981","1.003","57400","0.13","false","120.69940566","57400","1.1089609192653693","133.8509238554973"
"1982","1991","1.003","59300","0.13","false","120.69940566","59300","1.1063959951079407","133.5413390341327"
"1992","2001","1.003","63200","0.13","false","120.69940566","63200","1.1250283871806601","135.79025768333403"
"2002","2011","1.003","65600","0.13","false","120.69940566","65600","1.1082307146591774","133.76278859351976"
"2012","2015","1.003","66270","0.13","false","120.69940566","66270","1.0988273644636926","132.6278098137119"
