Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1500000,0.6,false,12.5,1500000,4.918772603652209,61.48465754565261
1,43,1.066,2000000,0.6,false,1.5625,2000000,2.5046760646760973,3.913556351056402
44,200,1.066,4500000,0.6,false,1.5625,4500000,0.8640013527459016,1.3500021136654712
201,410,1.066,3000000,0.6,false,1.171875,3000000,3.339297218194766,3.9132389275719914
411,430,1.066,1200000,0.6,false,1.171875,1200000,1.0316421078921076,1.2089555951860635
431,500,1.066,1300000,0.6,false,1.171875,1300000,1.0221482683982686,1.197830002029221
501,750,1.066,1300000,0.6,false,1.171875,1300000,1.0129534334946104,1.1870548048764966
751,950,1.066,1400000,0.6,false,1.171875,1400000,0.945033529507988,1.1074611673921735
951,1066,1.066,1500000,0.6,false,1.171875,1500000,0.9108316080515676,1.0673807906854307
1067,1086,1.066,2000000,0.6,false,1.171875,2000000,0.9542965333973547,1.118316250075025
1087,1190,1.066,3700000,0.6,false,1.171875,3700000,0.9102793359054695,1.066733596764222
1191,1220,1.066,4800000,0.6,false,1.171875,4800000,0.8617589802280656,1.0098738049547644
1221,1250,1.066,5000000,0.6,false,1.171875,5000000,0.8545359340719983,1.001409297740623
1251,1279,1.066,5300000,0.6,false,1.171875,5300000,0.8414785751668564,0.9861077052736599
1280,1290,1.066,5700000,0.6,false,1.171875,5700000,0.8347972734972481,0.9782780548795876
1291,1315,1.066,5600000,0.6,false,1.171875,5600000,0.8137098646609634,0.9535662476495664
1316,1325,1.066,5000000,0.6,false,1.171875,5000000,0.8023677596979872,0.9402747183960788
1326,1348,1.066,5700000,0.6,false,1.171875,5700000,0.8248504576535024,0.9666216300626981
1349,1351,1.066,3000000,0.6,true,1.171875,3000000,0.7257308901144518,0.8504658868528732
1352,1377,1.066,3000000,0.6,false,0.878906,3000000,3.465842548591088,3.0461498110119987
1378,1400,1.066,2500000,0.6,false,0.878906,2500000,1.0623845798828386,0.9337361815665062
1401,1430,1.066,2400000,0.6,false,0.878906,2400000,1.0355341470124078,0.9101371750140872
1431,1450,1.066,2300000,0.6,false,0.878906,2300000,1.0279753579753579,0.9034937099766899
1451,1490,1.066,2600000,0.6,false,0.878906,2600000,1.0340737591161129,0.9088536313297063
1491,1522,1.066,2800000,0.6,false,0.878906,2800000,1.0317525253304212,0.9068134850280591
1523,1541,1.066,3400000,0.6,false,0.878906,3400000,1.0087924801063668,0.8866337635203664
1542,1560,1.066,3800000,0.6,false,0.878906,3800000,1.0338659013732638,0.9086709439123698
1561,1600,1.066,5000000,0.6,false,0.878906,5000000,1.0185441658693406,0.8952045786475586
1601,1650,1.066,6300000,0.6,false,0.878906,6300000,1.001396194518801,0.8801331237397413
1651,1700,1.066,6200000,0.6,false,0.878906,6200000,0.9537200889520429,0.8382303085004842
1701,1801,1.066,11300000,0.6,false,0.878906,11300000,0.9452443704150638,0.8307809486240221
1802,1811,1.066,12500000,0.6,false,0.878906,12500000,0.8901102787007316,0.7823232646117452
1812,1821,1.066,13400000,0.6,false,0.878906,13400000,0.8728325455917613,0.7671377613158725
1822,1831,1.066,15800000,0.6,false,0.878906,15800000,0.8952315632207657,0.7868243923041103
1832,1841,1.066,20200000,0.6,false,0.878906,20200000,0.9675851676556805,0.8504164093635834
1842,1851,1.066,27400000,0.6,false,0.878906,27400000,0.9553115638609283,0.839629065346753
1852,1861,1.066,29000000,0.6,false,0.878906,29000000,0.8730800409193484,0.7673552864442609
1862,1871,1.066,31500000,0.6,false,0.878906,31500000,0.8872294932799034,0.7797913250206667
1872,1881,1.066,35000000,0.6,false,0.878906,35000000,0.8791272078092988,0.7726701777068395
1882,1891,1.066,37800000,0.6,false,0.878906,37800000,0.8622918930267446,0.7578735185325639
1892,1901,1.066,38200000,0.6,false,0.878906,38200000,0.8540192641011499,0.7506026553340852
1902,1911,1.003,42100000,0.13,false,0.878906,42100000,0.8835042711889273,0.7765172049735752
1912,1921,1.003,44000000,0.13,false,0.878906,44000000,0.8389145105327737,0.7373269967943179
1922,1931,1.003,45000000,0.13,false,0.878906,45000000,0.8405741946521479,0.7387857031249406
1932,1941,1.003,50200000,0.13,false,0.878906,50200000,0.8877584119180565,0.7802561947852513
1942,1951,1.003,52800000,0.13,false,0.878906,52800000,0.8815853363276756,0.7748306416104119
1952,1961,1.003,55900000,0.13,false,0.878906,55900000,0.8721906568179086,0.7665736014212008
1962,1971,1.003,56300000,0.13,false,0.878906,56300000,0.8503369254654249,0.7473662258131147
1972,1981,1.003,57400000,0.13,false,0.878906,57400000,0.856026044182479,0.7523664263882458
1982,1991,1.003,59300000,0.13,false,0.878906,59300000,0.8474080515910591,0.7447920209916914
1992,2001,1.003,63200000,0.13,false,0.878906,63200000,0.8557925947782957,0.7521612463062127
2002,2011,1.003,65600000,0.13,false,0.878906,65600000,0.8506405342195154,0.7476330693687373
2012,2015,1.003,66200000,0.13,false,0.878906,66200000,0.8441277556404726,0.7419089491989452
